,Zip Code,Org Code,Org Name,Org Type,Year,Job Category,Nonwhite (Num Stu),Total Students,Nonwhite (Num Staff),Total Staff,Perc Nonwhite Students,Perc Nonwhite Staff,Nonwhite Leader,Median Income,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White,Percent Nonwhite Residents,In Boston,Residuals,Residuals Group
1176,02125,350088,Boston: Edward Everett,Public School,2015,All Staff,261.0,279,8.0,24.0,93.54838709677419,33.33333333333333,False,48123.0,34.5,79.6,33.4,34.4,65.6,Boston,-11.564807014960039,Low
1177,02125,350179,Boston: John W McCormack,Public School,2015,All Staff,561.0,596,33.400000000000006,74.4,94.12751677852349,44.892473118279575,True,48123.0,34.5,79.6,33.4,34.4,65.6,Boston,-4.659037874626463,Low
1178,02125,350180,Boston: John Winthrop,Public School,2015,All Staff,351.0,357,18.4,33.9,98.31932773109243,54.27728613569322,True,48123.0,34.5,79.6,33.4,34.4,65.6,Boston,-2.0562436061282483,Low
1179,02125,350268,Boston: Paul A Dever,Public School,2015,All Staff,503.0,524,30.199999999999996,68.3,95.99236641221374,44.21669106881405,True,48123.0,34.5,79.6,33.4,34.4,65.6,Boston,-7.897543207840499,Low
1181,02125,350366,Boston: William E Russell,Public School,2015,All Staff,379.0,387,15.899999999999999,35.9,97.9328165374677,44.28969359331476,True,48123.0,34.5,79.6,33.4,34.4,65.6,Boston,-11.313070492823414,Low
1183,02126,350054,Boston: Charles H Taylor,Public School,2015,All Staff,542.0,546,37.4,52.9,99.26739926739927,70.69943289224952,True,45958.0,27.9,79.8,15.6,8.3,91.7,Boston,16.25753688461107,High
1184,02126,350008,Boston: Dr. Catherine Ellison-Rosa Parks Early Ed School,Public School,2015,All Staff,176.0,179,33.0,50.1,98.32402234636871,65.86826347305389,True,45958.0,27.9,79.8,15.6,8.3,91.7,Boston,7.381720271375393,High
1185,02126,350154,Boston: James J Chittick,Public School,2015,All Staff,290.0,297,19.0,39.5,97.64309764309765,48.10126582278481,True,45958.0,27.9,79.8,15.6,8.3,91.7,Boston,-8.235349748662557,Low
1186,02126,350378,Boston: Mildred Avenue K-8,Public School,2015,All Staff,376.0,382,35.2,50.9,98.42931937172776,69.15520628683694,True,45958.0,27.9,79.8,15.6,8.3,91.7,Boston,13.265374387539659,High
1187,02126,350380,Boston: Young Achievers,Public School,2015,All Staff,499.0,507,37.0,56.9,98.42209072978304,65.02636203866432,True,45958.0,27.9,79.8,15.6,8.3,91.7,Boston,10.797688675998494,High
1188,02126,4630205,KIPP Academy Boston Charter School (District): KIPP Academy Boston Charter School,Charter School,2015,All Staff,285.0,288,13.0,42.0,98.95833333333334,30.952380952380953,True,45958.0,27.9,79.8,15.6,8.3,91.7,Boston,-21.288007871959575,Low
1194,02127,4800405,UP Academy Charter School of Boston (District): UP Academy Charter School of Boston,Charter School,2015,All Staff,423.0,468,16.299999999999997,59.8,90.38461538461539,27.257525083612038,True,77633.0,37.2,89.5,56.5,81.5,18.5,Boston,-13.228737107471225,Low
1197,02128,350080,Boston: Donald Mckay,Public School,2015,All Staff,657.0,697,16.800000000000004,59.2,94.26111908177906,28.378378378378383,True,51097.0,26.5,67.8,20.5,62.7,37.3,Boston,-11.06181275024868,Low
1200,02128,350141,Boston: Hugh Roe O'Donnell,Public School,2015,All Staff,266.0,292,10.0,25.0,91.0958904109589,40.0,True,51097.0,26.5,67.8,20.5,62.7,37.3,Boston,-2.070327789061224,Low
1203,02128,350264,Boston: Patrick J Kennedy,Public School,2015,All Staff,282.0,307,12.0,34.5,91.85667752442997,34.78260869565217,True,51097.0,26.5,67.8,20.5,62.7,37.3,Boston,-7.745738705963113,Low
1206,02128,350656,Boston: Mario Umana Academy,Public School,2015,All Staff,704.0,780,28.200000000000003,76.0,90.25641025641026,37.10526315789474,True,51097.0,26.5,67.8,20.5,62.7,37.3,Boston,2.220269341502444,High
1207,02129,350515,Boston: Charlestown High,Public School,2015,All Staff,907.0,962,50.099999999999994,112.8,94.28274428274428,44.41489361702127,True,87381.0,39.8,91.0,62.0,73.9,26.099999999999994,Boston,-1.209480780169578,Low
1208,02129,350430,Boston: Clarence R Edwards Middle,Public School,2015,All Staff,383.0,416,20.1,50.2,92.0673076923077,40.039840637450204,False,87381.0,39.8,91.0,62.0,73.9,26.099999999999994,Boston,-2.5507341605276395,Low
1209,02129,350200,Boston: Harvard-Kent,Public School,2015,All Staff,504.0,555,26.10000000000001,68.4,90.81081081081082,38.15789473684211,False,87381.0,39.8,91.0,62.0,73.9,26.099999999999994,Boston,-1.5079687667467354,Low
1214,02130,350006,Boston: ELC - West Zone,Public School,2015,All Staff,89.0,97,12.0,27.5,91.75257731958763,43.63636363636363,False,77480.0,19.3,91.9,64.2,64.5,35.5,Boston,-5.268490945556088,Low
1215,02130,350153,Boston: James W Hennigan,Public School,2015,All Staff,592.0,620,38.39999999999999,66.6,95.48387096774194,57.657657657657644,True,77480.0,19.3,91.9,64.2,64.5,35.5,Boston,4.106212581033965,High
1216,02130,350166,Boston: John F Kennedy,Public School,2015,All Staff,387.0,402,21.200000000000003,37.2,96.26865671641791,56.98924731182796,True,77480.0,19.3,91.9,64.2,64.5,35.5,Boston,-0.12570018845726594,Low
1219,02130,350535,Boston: The English High,Public School,2015,All Staff,544.0,559,48.0,91.0,97.31663685152057,52.74725274725275,True,77480.0,19.3,91.9,64.2,64.5,35.5,Boston,-3.1935922619036106,Low
1220,02130,350549,Boston: Margarita Muniz Academy,Public School,2015,All Staff,226.0,229,17.1,25.7,98.68995633187772,66.53696498054475,0,77480.0,19.3,91.9,64.2,64.5,35.5,Boston,13.392285217038378,High
1221,02131,350052,Boston: Charles Sumner,Public School,2015,All Staff,498.0,551,24.800000000000004,57.2,90.38112522686026,43.35664335664336,False,64178.0,20.8,88.8,41.2,59.9,40.1,Boston,7.3050566405165185,High
1227,02131,350445,Boston: Washington Irving Middle,Public School,2015,All Staff,322.0,354,25.099999999999998,49.3,90.96045197740112,50.91277890466531,0,64178.0,20.8,88.8,41.2,59.9,40.1,Boston,11.753041088716643,High
1228,02131,4280305,Brooke Charter School (District): Brooke Charter School,Charter School,2015,All Staff,500.0,506,14.0,64.5,98.81422924901186,21.705426356589147,True,64178.0,20.8,88.8,41.2,59.9,40.1,Boston,-25.220164818164182,Low
1232,02132,350579,Boston: Urban Science Academy,Public School,2015,All Staff,429.0,471,25.1,53.1,91.0828025477707,47.26930320150659,False,87983.0,5.2,93.9,53.7,83.8,16.200000000000003,Boston,10.438346766346044,High
1237,02134,350013,Boston: Jackson Mann,Public School,2015,All Staff,675.0,749,44.099999999999994,96.3,90.12016021361816,45.79439252336448,True,44000.0,15.0,88.6,57.5,63.5,36.5,Boston,0.29146966375076744,High
1239,02135,350505,Boston: Brighton High,Public School,2015,All Staff,923.0,974,35.0,94.3,94.76386036960986,37.11558854718982,True,50752.0,20.9,91.1,61.9,73.0,27.0,Boston,-8.903422277633581,Low
1244,02135,4110305,Boston Green Academy Horace Mann Charter School (District): Boston Green Academy Horace Mann Charter School,Charter School,2015,All Staff,356.0,393,23.400000000000006,56.2,90.5852417302799,41.63701067615659,True,50752.0,20.9,91.1,61.9,73.0,27.0,Boston,-3.1171236975630734,Low
1246,02136,350541,Boston: Another Course To College,Public School,2015,All Staff,217.0,236,13.100000000000001,28.1,91.94915254237289,46.619217081850536,0,61391.0,16.8,88.0,25.1,35.3,64.7,Boston,5.047997001380864,High
1247,02136,350558,Boston: Boston Community Leadership Academy,Public School,2015,All Staff,484.0,525,34.2,69.2,92.19047619047619,49.421965317919074,True,61391.0,16.8,88.0,25.1,35.3,64.7,Boston,3.118221691626424,High
1249,02136,350135,Boston: Henry Grew,Public School,2015,All Staff,232.0,251,9.399999999999999,21.4,92.43027888446214,43.92523364485981,True,61391.0,16.8,88.0,25.1,35.3,64.7,Boston,-6.213059751057642,Low
1250,02136,350542,Boston: New Mission High School,Public School,2015,All Staff,292.0,301,22.400000000000002,32.6,97.00996677740864,68.71165644171779,True,61391.0,16.8,88.0,25.1,35.3,64.7,Boston,15.282755079268028,High
1251,02136,350360,Boston: William Ellery Channing,Public School,2015,All Staff,284.0,295,17.300000000000004,34.2,96.27118644067797,50.58479532163743,True,61391.0,16.8,88.0,25.1,35.3,64.7,Boston,-2.285925522153647,Low
1252,02136,4160305,Boston Preparatory Charter Public (District): Boston Preparatory Charter Public School,Charter School,2015,All Staff,379.0,391,15.800000000000004,52.7,96.9309462915601,29.981024667931695,True,61391.0,16.8,88.0,25.1,35.3,64.7,Boston,-16.83761751673776,Low
1253,02136,4810550,Boston Renaissance Charter Public (District): Boston Renaissance Charter Public School,Charter School,2015,All Staff,930.0,944,46.80000000000001,139.8,98.51694915254238,33.476394849785414,True,61391.0,16.8,88.0,25.1,35.3,64.7,Boston,-7.389708585832878,Low
1268,02140,4200205,Benjamin Banneker Charter Public (District): Benjamin Banneker Charter Public School,Charter School,2015,All Staff,343.0,347,24.700000000000003,53.2,98.84726224783861,46.42857142857143,True,84163.0,16.1,93.3,69.5,64.4,35.599999999999994,Not Boston,7.114431214858328,High
1272,02141,4360305,Community Charter School of Cambridge (District): Community Charter School of Cambridge,Charter School,2015,All Staff,384.0,398,16.6,56.5,96.4824120603015,29.38053097345133,False,70828.0,15.4,90.4,65.4,66.1,33.900000000000006,Not Boston,2.6082315113226784,High
1302,02150,570505,Chelsea: Chelsea High,Public School,2015,All Staff,1425.0,1527,32.8,150.1,93.32023575638507,21.85209860093271,True,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,10.099835651859637,High
1303,02150,570050,Chelsea: Clark Avenue School,Public School,2015,All Staff,516.0,548,4.799999999999997,56.5,94.16058394160584,8.495575221238932,False,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,-8.592876008943831,Low
1304,02150,570030,Chelsea: Edgar A Hooks Elementary,Public School,2015,All Staff,520.0,563,9.0,57.1,92.36234458259325,15.761821366024517,False,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,0.42396091333436026,High
1305,02150,570045,Chelsea: Eugene Wright Science and Technology Academy,Public School,2015,All Staff,480.0,521,8.799999999999997,62.5,92.13051823416507,14.079999999999995,False,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,-1.6138318957068982,Low
1306,02150,570040,Chelsea: Frank M Sokolowski Elementary,Public School,2015,All Staff,561.0,613,11.0,56.7,91.51712887438825,19.400352733686066,True,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,-2.896481925703956,Low
1307,02150,570035,Chelsea: George F. Kelly Elementary,Public School,2015,All Staff,556.0,590,9.5,49.7,94.23728813559322,19.114688128772634,True,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,-5.834330487484724,Low
1308,02150,570055,Chelsea: Joseph A. Browne School,Public School,2015,All Staff,513.0,545,10.799999999999997,52.5,94.12844036697248,20.571428571428566,False,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,3.4710013146522023,High
1311,02150,4930505,Phoenix Charter Academy (District): Phoenix Charter Academy,Charter School,2015,All Staff,179.0,194,12.2,36.4,92.26804123711341,33.51648351648351,True,47811.0,26.1,65.4,16.9,51.6,48.4,Not Boston,10.374787507737047,High
1395,02215,4690505,MATCH Charter Public School (District): MATCH Charter Public School,Charter School,2015,All Staff,858.0,895,88.6,241.9,95.8659217877095,36.62670525010335,True,40269.0,57.7,95.8,78.5,68.7,31.299999999999997,Boston,-11.533503999245184,Low
1406,02301,440078,Brockton: Oscar F Raymond,Public School,2015,All Staff,940.0,1039,16.799999999999997,100.6,90.4716073147257,16.69980119284294,False,43093.0,29.2,79.6,17.6,41.5,58.5,Not Boston,7.228175818801507,High
1415,02302,440055,Brockton: Gilmore Elementary School,Public School,2015,All Staff,446.0,494,7.5,50.4,90.2834008097166,14.880952380952381,False,58750.0,15.0,83.2,18.0,53.3,46.7,Not Boston,0.42712855347901346,High
