,Zip Code,Org Code,Org Name,Org Type,Year,Job Category,Nonwhite (Num Stu),Total Students,Nonwhite (Num Staff),Total Staff,Perc Nonwhite Students,Perc Nonwhite Staff,Nonwhite Leader,Median Income,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White,Percent Nonwhite Residents,In Boston,Residuals,Residuals Group
188,01109,2810085,Springfield: Homer Street,Public School,2015,All Staff,434.0,469,4.899999999999999,52.3,92.53731343283582,9.369024856596555,False,33797.0,40.3,77.9,14.2,36.4,63.6,Not Boston,-9.413426576987229,Low
192,01109,2810055,Springfield: Rebecca M Johnson,Public School,2015,All Staff,773.0,812,24.900000000000006,117.5,95.19704433497537,21.191489361702132,True,33797.0,40.3,77.9,14.2,36.4,63.6,Not Boston,-3.6958069244399496,Low
196,01109,2810045,Springfield: William N. DeBerry,Public School,2015,All Staff,283.0,292,8.0,48.8,96.91780821917808,16.393442622950822,False,33797.0,40.3,77.9,14.2,36.4,63.6,Not Boston,-8.513034093284006,Low
198,01109,2810345,Springfield: Springfield Public Day Middle School,Public School,2015,All Staff,54.0,58,2.400000000000002,26.8,93.10344827586206,8.955223880597023,False,33797.0,40.3,77.9,14.2,36.4,63.6,Not Boston,-15.757215747008166,Low
506,01605,4860105,Seven Hills Charter Public (District): Seven Hills Charter School,Charter School,2015,All Staff,613.0,667,25.5,92.6,91.904047976012,27.5377969762419,True,36429.0,38.8,82.6,26.1,60.4,39.6,Not Boston,9.997103380731804,High
527,01610,3480350,Worcester: Claremont Academy,Public School,2015,All Staff,451.0,497,9.0,52.6,90.74446680080483,17.110266159695815,False,31019.0,35.9,73.0,14.0,61.6,38.4,Not Boston,4.966696332273855,High
531,01610,3480030,Worcester: Woodland Academy,Public School,2015,All Staff,564.0,613,11.5,58.9,92.00652528548125,19.524617996604416,True,31019.0,35.9,73.0,14.0,61.6,38.4,Not Boston,-0.5228464825184993,Low
712,01840,4400205,Community Day Charter Public School - Prospect (District): Community Day Charter Public School - Prospect,Charter School,2015,All Staff,381.0,400,7.700000000000003,58.7,95.25,13.117546848381606,False,18291.0,36.1,60.6,12.4,39.3,60.7,Not Boston,-2.5228711951698735,Low
713,01840,1490536,Lawrence: High School Learning Center,Public School,2015,All Staff,182.0,193,3.099999999999998,28.9,94.30051813471503,10.72664359861591,False,18291.0,36.1,60.6,12.4,39.3,60.7,Not Boston,-12.185372423688092,Low
714,01840,1490048,Lawrence: Oliver Partnership School,Public School,2015,All Staff,474.0,489,12.5,64.3,96.93251533742331,19.440124416796266,False,18291.0,36.1,60.6,12.4,39.3,60.7,Not Boston,-1.8246306618686319,Low
715,01840,1490049,Lawrence: UP Academy Oliver Middle School,Public School,2015,All Staff,324.0,332,19.700000000000003,44.7,97.59036144578313,44.07158836689039,True,18291.0,36.1,60.6,12.4,39.3,60.7,Not Boston,11.81006947918209,High
716,01841,1490015,Lawrence: Alexander B Bruce,Public School,2015,All Staff,515.0,539,9.100000000000001,62.1,95.54730983302412,14.653784219001611,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,-3.7257551737952035,Low
717,01841,1490017,Lawrence: Arlington Middle School,Public School,2015,All Staff,512.0,520,10.0,53.9,98.46153846153847,18.55287569573284,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,-2.5933850199383066,Low
718,01841,1490053,Lawrence: Edward F. Parthum,Public School,2015,All Staff,552.0,604,18.099999999999994,77.8,91.3907284768212,23.264781491002566,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,9.333207083863345,High
719,01841,1490040,Lawrence: Francis M Leahy,Public School,2015,All Staff,539.0,553,13.899999999999999,57.0,97.46835443037975,24.3859649122807,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,4.5337870160009075,High
720,01841,1490022,Lawrence: Gerard A. Guilmette,Public School,2015,All Staff,525.0,540,11.900000000000006,66.4,97.22222222222221,17.92168674698796,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,-1.8901743030018814,Low
721,01841,1490025,Lawrence: Guilmette Middle School,Public School,2015,All Staff,498.0,515,14.900000000000006,64.4,96.69902912621359,23.136645962732928,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,3.445351475010991,High
722,01841,1490020,Lawrence: James F Hennessey,Public School,2015,All Staff,372.0,388,14.100000000000001,47.1,95.87628865979381,29.93630573248408,True,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,0.9232730591262666,High
723,01841,1490075,Lawrence: John K Tarbox,Public School,2015,All Staff,346.0,351,10.099999999999998,35.4,98.57549857549857,28.531073446327675,True,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,-3.3014135131094804,Low
724,01841,1490002,Lawrence: Lawlor Early Childhood Center,Public School,2015,All Staff,174.0,176,10.099999999999998,24.4,98.86363636363636,41.393442622950815,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,15.345805504362414,High
725,01841,1490027,Lawrence: Parthum Middle School,Public School,2015,All Staff,488.0,533,9.700000000000003,53.2,91.55722326454033,18.233082706766922,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,3.2178177913614974,High
728,01841,4540205,Lawrence Family Development Charter (District): Lawrence Family Development Charter School,Charter School,2015,All Staff,674.0,678,23.0,84.5,99.41002949852508,27.218934911242602,True,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,4.3459792019521615,High
729,01841,4260205,Community Day Charter Public School - Gateway (District): Community Day Charter Public School - Gateway,Charter School,2015,All Staff,193.0,200,8.100000000000001,33.5,96.5,24.179104477611947,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,5.83970467467536,High
730,01841,4310205,Community Day Charter Public School - R. Kingman Webster (District): Community Day Charter Public School - R. Kingman Webster,Charter School,2015,All Staff,189.0,200,4.099999999999998,31.2,94.5,13.141025641025633,False,32928.0,34.9,66.0,8.9,39.5,60.5,Not Boston,-3.472240873494348,Low
