Org Code,SCHOOL,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL,Source,Year
00090003,Andover - Bancroft Elementary,0,56,83,80,81,81,88,0,0,0,0,0,0,0,0,469,student_enrollment_2010,2010
00090305,Andover - Doherty Middle,0,0,0,0,0,0,0,197,178,174,0,0,0,0,0,549,student_enrollment_2010,2010
00090010,Andover - Henry C Sanborn Elem,0,48,56,57,56,65,73,0,0,0,0,0,0,0,0,355,student_enrollment_2010,2010
00090004,Andover - High Plain Elementary,0,72,87,81,99,88,97,0,0,0,0,0,0,0,0,524,student_enrollment_2010,2010
00090005,Andover - Shawsheen School,74,72,73,63,0,0,0,0,0,0,0,0,0,0,0,282,student_enrollment_2010,2010
00090020,Andover - South Elementary,0,88,79,97,113,98,101,0,0,0,0,0,0,0,0,576,student_enrollment_2010,2010
00090025,Andover - West Elementary,4,61,86,96,137,137,156,0,0,0,0,0,0,0,0,677,student_enrollment_2010,2010
00090350,Andover - Wood Hill Middle School,0,0,0,0,0,0,0,128,136,139,0,0,0,0,0,403,student_enrollment_2010,2010
00100505,Arlington - Arlington High,0,0,0,0,0,0,0,0,0,0,312,280,304,266,0,1162,student_enrollment_2010,2010
00100010,Arlington - Brackett,0,62,83,63,77,77,79,0,0,0,0,0,0,0,0,441,student_enrollment_2010,2010
00100025,Arlington - Cyrus E Dallin,0,73,73,69,66,66,54,0,0,0,0,0,0,0,0,401,student_enrollment_2010,2010
00100030,Arlington - Hardy,0,69,59,65,60,45,53,0,0,0,0,0,0,0,0,351,student_enrollment_2010,2010
00100005,Arlington - John A Bishop,0,53,75,67,64,42,55,0,0,0,0,0,0,0,0,356,student_enrollment_2010,2010
00100055,Arlington - M Norcross Stratton,0,75,62,47,51,55,40,0,0,0,0,0,0,0,0,330,student_enrollment_2010,2010
00100038,Arlington - Menotomy Preschool,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,student_enrollment_2010,2010
00100410,Arlington - Ottoson Middle,0,0,0,0,0,0,0,359,367,334,0,0,0,0,0,1060,student_enrollment_2010,2010
00100045,Arlington - Peirce,0,39,47,37,42,36,36,0,0,0,0,0,0,0,0,237,student_enrollment_2010,2010
00100050,Arlington - Thompson,0,63,47,55,58,51,42,0,0,0,0,0,0,0,0,316,student_enrollment_2010,2010
06100025,Ashburnham-Westminster - Briggs Elem,0,76,70,73,62,84,80,0,0,0,0,0,0,0,0,445,student_enrollment_2010,2010
06100010,Ashburnham-Westminster - Meetinghouse School,46,64,110,0,0,0,0,0,0,0,0,0,0,0,0,220,student_enrollment_2010,2010
06100505,Ashburnham-Westminster - Oakmont Regional H S,0,0,0,0,0,0,0,0,0,0,184,203,177,174,10,748,student_enrollment_2010,2010
06100305,Ashburnham-Westminster - Overlook Middle School,0,0,0,0,0,0,0,196,195,174,0,0,0,0,0,565,student_enrollment_2010,2010
06100005,Ashburnham-Westminster - Westminster Elem,0,0,0,99,92,112,107,0,0,0,0,0,0,0,0,410,student_enrollment_2010,2010
00140505,Ashland - Ashland High,0,0,0,0,0,0,0,0,0,0,190,192,168,173,0,723,student_enrollment_2010,2010
00140405,Ashland - Ashland Middle,0,0,0,0,0,0,0,214,173,209,0,0,0,0,0,596,student_enrollment_2010,2010
00140015,Ashland - David Mindess,0,0,0,0,199,191,206,0,0,0,0,0,0,0,0,596,student_enrollment_2010,2010
00140010,Ashland - Henry E Warren Elem,120,0,203,211,0,0,0,0,0,0,0,0,0,0,0,534,student_enrollment_2010,2010
00140005,Ashland - William Pittaway Elem,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,191,student_enrollment_2010,2010
08010605,Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,0,0,0,0,0,0,0,0,0,0,269,258,238,198,0,963,student_enrollment_2010,2010
06150505,Athol-Royalston - Athol High,0,0,0,0,0,0,0,0,0,0,145,83,134,95,8,465,student_enrollment_2010,2010
06150305,Athol-Royalston - Athol-Royalston Middle School,0,0,0,0,0,0,69,118,137,124,0,0,0,0,0,448,student_enrollment_2010,2010
06150005,Athol-Royalston - Ellen Bigelow,0,0,0,0,2,2,2,9,3,1,3,5,1,3,0,31,student_enrollment_2010,2010
06150016,Athol-Royalston - Pleasant St,44,42,36,47,23,53,0,0,0,0,0,0,0,0,0,245,student_enrollment_2010,2010
06150020,Athol-Royalston - Riverbend,0,21,22,21,20,50,21,0,0,0,0,0,0,0,0,155,student_enrollment_2010,2010
06150050,Athol-Royalston - Royalston Community Sch,2,25,22,23,24,27,21,21,0,0,0,0,0,0,0,165,student_enrollment_2010,2010
06150025,Athol-Royalston - Sanders Street,0,47,42,41,43,0,0,0,0,0,0,0,0,0,0,173,student_enrollment_2010,2010
04910550,Atlantis Charter (District) - Atlantis Charter School,0,90,69,71,68,70,95,94,96,80,0,0,0,0,0,733,student_enrollment_2010,2010
00160001,Attleboro - A. Irvin Studley Elementary School,0,89,76,92,80,95,0,0,0,0,0,0,0,0,0,432,student_enrollment_2010,2010
00160505,Attleboro - Attleboro High,0,0,0,0,0,0,0,0,0,0,469,453,430,404,0,1756,student_enrollment_2010,2010
00160315,Attleboro - Cyril K. Brennan Middle School,0,0,0,0,0,0,138,165,134,145,0,0,0,0,0,582,student_enrollment_2010,2010
00160008,Attleboro - Early Learning Center,152,5,0,0,0,0,0,0,0,0,0,0,0,0,0,157,student_enrollment_2010,2010
00160045,Attleboro - Hill-Roberts Elementary School,0,93,105,95,108,74,0,0,0,0,0,0,0,0,0,475,student_enrollment_2010,2010
00160040,Attleboro - Hyman Fine Elementary School,0,93,86,86,78,86,0,0,0,0,0,0,0,0,0,429,student_enrollment_2010,2010
00160050,Attleboro - Peter Thacher Elementary School,0,100,92,90,92,89,0,0,0,0,0,0,0,0,0,463,student_enrollment_2010,2010
00160305,Attleboro - Robert J. Coelho Middle School,0,0,0,0,0,0,157,164,171,164,0,0,0,0,0,656,student_enrollment_2010,2010
00160035,Attleboro - Thomas E. Willett School,0,93,91,80,63,71,0,0,0,0,0,0,0,0,0,398,student_enrollment_2010,2010
00160320,Attleboro - Wamsutta Middle School,0,0,0,0,0,0,141,133,155,156,0,0,0,0,0,585,student_enrollment_2010,2010
00170305,Auburn - Auburn Middle,0,0,0,0,0,0,0,165,189,196,0,0,0,0,0,550,student_enrollment_2010,2010
00170505,Auburn - Auburn Senior High,0,0,0,0,0,0,0,0,0,0,186,209,172,196,3,766,student_enrollment_2010,2010
00170010,Auburn - Bryn Mawr,0,87,76,86,0,0,0,0,0,0,0,0,0,0,0,249,student_enrollment_2010,2010
00170005,Auburn - Julia Bancroft,0,0,0,0,86,79,94,0,0,0,0,0,0,0,0,259,student_enrollment_2010,2010
00170025,Auburn - Mary D Stone,48,78,83,88,0,0,0,0,0,0,0,0,0,0,0,297,student_enrollment_2010,2010
00170015,Auburn - Pakachoag,0,0,0,0,98,100,80,0,0,0,0,0,0,0,0,278,student_enrollment_2010,2010
00180510,Avon - Avon Middle High School,0,0,0,0,0,0,0,0,68,65,63,62,42,48,1,349,student_enrollment_2010,2010
00180010,Avon - Ralph D Butler,11,50,52,51,53,60,61,61,0,0,0,0,0,0,0,399,student_enrollment_2010,2010
