Org Code,Org Name,Churn Enrollment,% Churn,% Intake,Stability Enrollment,% Stability,Source,Year
04450105,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,1465,7.2,4.4,1435,94.7,student_mobility_2010,2010
00010003,Abington - Abington ECC,562,11.0,8.2,536,93.3,student_mobility_2010,2010
00010505,Abington - Abington High,593,10.8,5.9,577,91.7,student_mobility_2010,2010
00010005,Abington - Center,250,10.8,7.2,240,92.9,student_mobility_2010,2010
00010405,Abington - Frolio Middle School,415,6.8,4.3,408,94.9,student_mobility_2010,2010
00010015,Abington - Woodsdale,486,5.6,3.9,481,95.4,student_mobility_2010,2010
04120530,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public Sch,487,4.7,1.9,485,95.7,student_mobility_2010,2010
00020020,Acton - Douglas,506,5.1,1.8,499,96.2,student_mobility_2010,2010
00020025,Acton - Gates,502,5.2,2.8,491,97.0,student_mobility_2010,2010
00020030,Acton - Luther Conant,508,2.6,1.8,500,99.0,student_mobility_2010,2010
00020015,Acton - McCarthy-Towne,510,4.7,2.6,497,97.8,student_mobility_2010,2010
00020010,Acton - Merriam,650,8.9,7.7,629,94.1,student_mobility_2010,2010
06000505,Acton-Boxborough - Acton-Boxborough Reg High,1971,2.4,1.3,1953,98.5,student_mobility_2010,2010
06000405,Acton-Boxborough - Raymond J Grey JH,1000,11.4,10.2,981,90.3,student_mobility_2010,2010
00030025,Acushnet - Acushnet Elementary Sch,533,5.1,2.8,518,97.7,student_mobility_2010,2010
00030305,Acushnet - Albert F Ford Middle Sch,496,4.0,3.0,485,98.1,student_mobility_2010,2010
06030004,Adams-Cheshire - Cheshire Elementary,288,10.4,9.4,268,96.3,student_mobility_2010,2010
06030505,Adams-Cheshire - Hoosac Valley High,716,10.1,5.2,694,92.8,student_mobility_2010,2010
06030020,Adams-Cheshire - Plunkett Elementary,626,7.7,5.3,600,96.3,student_mobility_2010,2010
04300305,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter Sch,812,4.9,2.1,808,95.5,student_mobility_2010,2010
00050003,Agawam - Agawam ECC,144,15.3,13.2,128,95.3,student_mobility_2010,2010
00050505,Agawam - Agawam High,1343,9.1,2.5,1313,93.0,student_mobility_2010,2010
00050405,Agawam - Agawam Junior High,749,6.5,3.6,726,96.4,student_mobility_2010,2010
00050303,Agawam - Agawam Middle School,712,4.9,2.0,698,97.0,student_mobility_2010,2010
00050020,Agawam - Benjamin J Phelps,393,12.5,9.9,381,90.3,student_mobility_2010,2010
00050010,Agawam - Clifford M Granger,319,6.9,5.0,306,97.1,student_mobility_2010,2010
00050030,Agawam - James Clark School,375,6.4,3.5,364,96.4,student_mobility_2010,2010
00050025,Agawam - Robinson Park,387,10.3,6.5,372,93.3,student_mobility_2010,2010
00070005,Amesbury - Amesbury Elementary,455,24.0,21.5,438,79.0,student_mobility_2010,2010
00070505,Amesbury - Amesbury High,698,9.3,4.2,677,93.5,student_mobility_2010,2010
00070013,Amesbury - Amesbury Middle,778,9.0,2.4,764,92.7,student_mobility_2010,2010
00070010,Amesbury - Charles C Cashman El,572,8.0,2.3,562,93.6,student_mobility_2010,2010
04150505,Amesbury Academy Charter Public School - Academy of Strategic Learning Charter School,54,22.2,13.0,50,84.0,student_mobility_2010,2010
00080009,Amherst - Crocker Farm Elementary,361,21.1,8.6,346,82.4,student_mobility_2010,2010
00080020,Amherst - Fort River Elementary,465,10.3,7.3,436,95.6,student_mobility_2010,2010
00080030,Amherst - Marks Meadow Elementary School,187,17.1,7.5,179,86.6,student_mobility_2010,2010
00080050,Amherst - Wildwood Elementary,418,17.7,11.7,374,92.0,student_mobility_2010,2010
06050505,Amherst-Pelham - Amherst Regional High,1217,10.0,5.9,1173,93.4,student_mobility_2010,2010
06050405,Amherst-Pelham - Amherst Regional MS,503,6.6,4.0,494,95.1,student_mobility_2010,2010
00090505,Andover - Andover High,1811,3.2,1.7,1799,97.5,student_mobility_2010,2010
00090310,Andover - Andover West Middle,531,2.3,0.6,529,98.1,student_mobility_2010,2010
00090003,Andover - Bancroft Elementary,473,2.3,1.5,469,98.5,student_mobility_2010,2010
00090305,Andover - Doherty Middle,557,3.8,2.0,550,97.5,student_mobility_2010,2010
00090010,Andover - Henry C Sanborn Elem,374,7.5,5.9,355,97.5,student_mobility_2010,2010
00090004,Andover - High Plain Elementary,545,8.4,4.8,524,95.2,student_mobility_2010,2010
00090005,Andover - Shawsheen School,302,9.6,7.3,282,96.8,student_mobility_2010,2010
00090020,Andover - South Elementary,582,2.2,1.2,576,98.8,student_mobility_2010,2010
00090025,Andover - West Elementary,702,7.0,3.6,677,96.5,student_mobility_2010,2010
00090350,Andover - Wood Hill Middle School,409,4.4,2.7,403,97.0,student_mobility_2010,2010
00100505,Arlington - Arlington High,1264,46.0,43.4,1176,58.0,student_mobility_2010,2010
00100010,Arlington - Brackett,475,12.6,11.0,444,93.5,student_mobility_2010,2010
00100025,Arlington - Cyrus E Dallin,413,7.5,5.8,403,94.8,student_mobility_2010,2010
00100030,Arlington - Hardy,390,16.2,12.3,357,91.6,student_mobility_2010,2010
00100005,Arlington - John A Bishop,387,11.6,10.9,360,95.0,student_mobility_2010,2010
00100055,Arlington - M Norcross Stratton,354,12.4,10.7,332,93.4,student_mobility_2010,2010
00100038,Arlington - Menotomy Preschool,83,61.5,47.0,69,46.4,student_mobility_2010,2010
00100410,Arlington - Ottoson Middle,1130,11.0,9.3,1062,94.7,student_mobility_2010,2010
00100045,Arlington - Peirce,259,17.4,15.4,244,87.7,student_mobility_2010,2010
00100050,Arlington - Thompson,334,16.8,9.0,318,87.4,student_mobility_2010,2010
06100025,Ashburnham-Westminster - Briggs Elem,467,9.2,5.1,453,93.6,student_mobility_2010,2010
06100010,Ashburnham-Westminster - Meetinghouse School,242,19.4,16.5,221,88.2,student_mobility_2010,2010
06100505,Ashburnham-Westminster - Oakmont Regional H S,765,7.3,3.1,750,94.5,student_mobility_2010,2010
06100305,Ashburnham-Westminster - Overlook Middle School,581,5.0,3.4,566,97.5,student_mobility_2010,2010
06100005,Ashburnham-Westminster - Westminster Elem,424,5.0,2.6,414,97.3,student_mobility_2010,2010
00140505,Ashland - Ashland High,739,4.6,2.2,726,97.1,student_mobility_2010,2010
00140405,Ashland - Ashland Middle,614,5.2,3.4,598,97.3,student_mobility_2010,2010
00140015,Ashland - David Mindess,607,3.1,2.1,597,98.5,student_mobility_2010,2010
00140010,Ashland - Henry E Warren Elem,556,6.5,4.5,536,97.0,student_mobility_2010,2010
00140005,Ashland - William Pittaway Elem,201,9.0,6.0,191,95.8,student_mobility_2010,2010
08010605,Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,972,6.2,1.7,969,94.1,student_mobility_2010,2010
06150505,Athol-Royalston - Athol High,486,14.2,8.6,467,89.3,student_mobility_2010,2010
06150305,Athol-Royalston - Athol-Royalston Middle School,464,11.0,5.2,449,92.0,student_mobility_2010,2010
06150005,Athol-Royalston - Ellen Bigelow,47,68.1,40.4,34,44.1,student_mobility_2010,2010
06150016,Athol-Royalston - Pleasant St,270,28.2,23.0,249,77.9,student_mobility_2010,2010
06150020,Athol-Royalston - Riverbend,184,32.6,19.0,162,76.5,student_mobility_2010,2010
06150050,Athol-Royalston - Royalston Community Sch,171,5.3,3.5,165,98.2,student_mobility_2010,2010
06150025,Athol-Royalston - Sanders Street,179,15.6,8.4,173,87.3,student_mobility_2010,2010
04910550,Atlantis Charter (District) - Atlantis Charter School,738,8.3,6.8,737,91.9,student_mobility_2010,2010
00160001,Attleboro - A. Irvin Studley Elementary School,453,27.2,24.3,433,76.2,student_mobility_2010,2010
00160505,Attleboro - Attleboro High,1815,10.1,3.8,1763,92.5,student_mobility_2010,2010
00160315,Attleboro - Cyril K. Brennan Middle School,600,9.2,4.2,582,93.6,student_mobility_2010,2010
00160008,Attleboro - Early Learning Center,220,42.3,37.7,157,80.9,student_mobility_2010,2010
00160045,Attleboro - Hill-Roberts Elementary School,493,24.3,22.3,478,78.0,student_mobility_2010,2010
00160040,Attleboro - Hyman Fine Elementary School,440,10.0,3.9,429,92.3,student_mobility_2010,2010
00160050,Attleboro - Peter Thacher Elementary School,500,15.0,8.0,468,90.8,student_mobility_2010,2010
00160305,Attleboro - Robert J. Coelho Middle School,683,8.1,4.7,656,95.7,student_mobility_2010,2010
00160035,Attleboro - Thomas E. Willett School,431,15.8,8.1,401,90.5,student_mobility_2010,2010
00160320,Attleboro - Wamsutta Middle School,606,8.9,4.8,586,94.2,student_mobility_2010,2010
00170305,Auburn - Auburn Middle,560,3.4,2.0,551,98.2,student_mobility_2010,2010
00170505,Auburn - Auburn Senior High,782,6.3,4.0,767,95.6,student_mobility_2010,2010
00170010,Auburn - Bryn Mawr,263,8.8,6.8,250,96.0,student_mobility_2010,2010
00170005,Auburn - Julia Bancroft,267,7.9,5.2,259,95.0,student_mobility_2010,2010
00170025,Auburn - Mary D Stone,311,12.9,10.6,298,90.9,student_mobility_2010,2010
00170015,Auburn - Pakachoag,282,3.2,1.4,278,98.2,student_mobility_2010,2010
00180510,Avon - Avon Middle High School,361,10.5,4.4,354,91.2,student_mobility_2010,2010
00180010,Avon - Ralph D Butler,416,7.2,5.1,402,96.0,student_mobility_2010,2010
00190510,Ayer - Ayer High,393,16.3,6.6,377,87.3,student_mobility_2010,2010
00190305,Ayer - Ayer Middle,250,13.6,3.6,244,88.5,student_mobility_2010,2010
00190025,Ayer - Page-Hilltop,629,12.4,9.1,588,93.7,student_mobility_2010,2010
00200004,Barnstable - Barnstable Early Learning Center,166,40.4,38.0,117,84.6,student_mobility_2010,2010
00200505,Barnstable - Barnstable High,2226,11.5,6.5,2155,91.4,student_mobility_2010,2010
00200315,Barnstable - Barnstable Intermediate School,847,9.0,4.8,823,93.7,student_mobility_2010,2010
00200010,Barnstable - Centerville Elementary,253,11.1,7.9,237,94.9,student_mobility_2010,2010
00200025,Barnstable - Hyannis West Elementary,369,31.4,22.5,322,78.6,student_mobility_2010,2010
00200005,Barnstable - West Barnstable Elem,265,9.8,6.4,254,94.1,student_mobility_2010,2010
00200045,Barnstable - West Villages Elementary School,466,8.6,5.6,446,95.5,student_mobility_2010,2010
04270010,Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Publ,343,6.1,3.2,338,95.3,student_mobility_2010,2010
04230010,Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,828,8.5,4.4,806,94.0,student_mobility_2010,2010
00230505,Bedford - Bedford High,801,7.6,3.5,783,94.5,student_mobility_2010,2010
00230305,Bedford - John Glenn Middle,569,4.2,2.3,559,97.5,student_mobility_2010,2010
00230010,Bedford - Lt Elezer Davis,551,10.5,6.9,526,93.7,student_mobility_2010,2010
00230012,Bedford - Lt Job Lane School,570,4.0,1.4,564,97.0,student_mobility_2010,2010
00240505,Belchertown - Belchertown High,771,5.8,2.2,762,95.3,student_mobility_2010,2010
00240006,Belchertown - Chestnut Hill Community School,601,4.2,1.8,592,97.3,student_mobility_2010,2010
00240005,Belchertown - Cold Spring,220,11.8,9.6,208,93.3,student_mobility_2010,2010
00240025,Belchertown - Jabish Middle School,462,5.0,3.0,451,97.3,student_mobility_2010,2010
00240018,Belchertown - Swift River Elem,613,3.9,1.1,606,97.2,student_mobility_2010,2010
00250003,Bellingham - Bellingham ECC,119,18.5,15.1,104,93.3,student_mobility_2010,2010
00250505,Bellingham - Bellingham High School,766,8.0,2.9,756,93.3,student_mobility_2010,2010
00250315,Bellingham - Bellingham Memorial Middle School,833,4.6,2.4,817,97.3,student_mobility_2010,2010
00250009,Bellingham - Clara Macy Elementary,283,5.3,3.9,272,98.5,student_mobility_2010,2010
00250510,Bellingham - Primavera Jr/Sr H S,45,48.9,37.8,30,76.7,student_mobility_2010,2010
00250020,Bellingham - South Elem,443,5.9,3.8,430,97.0,student_mobility_2010,2010
00250025,Bellingham - Stall Brook,252,6.0,3.6,245,96.7,student_mobility_2010,2010
00260505,Belmont - Belmont High,1147,5.8,2.5,1126,96.0,student_mobility_2010,2010
00260015,Belmont - Daniel Butler,355,7.3,4.2,340,96.8,student_mobility_2010,2010
00260010,Belmont - Mary Lee Burbank,348,5.2,1.7,342,96.5,student_mobility_2010,2010
00260035,Belmont - Roger E Wellington,481,8.7,5.2,462,95.0,student_mobility_2010,2010
00260005,Belmont - Winn Brook,552,8.3,4.5,533,94.9,student_mobility_2010,2010
00260305,Belmont - Winthrop L Chenery Middle,1205,4.5,2.2,1186,97.1,student_mobility_2010,2010
04200205,Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,329,5.5,4.0,326,95.4,student_mobility_2010,2010
04470205,Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public Sc,435,1.6,0.7,432,99.1,student_mobility_2010,2010
00270010,Berkley - Berkley Community School,523,11.3,9.8,514,90.3,student_mobility_2010,2010
00270305,Berkley - Berkley Middle School,413,1.7,1.2,409,99.3,student_mobility_2010,2010
04140305,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public,247,23.1,15.0,223,85.2,student_mobility_2010,2010
06180505,Berkshire Hills - Monument Mt Reg High,617,6.7,4.1,602,95.7,student_mobility_2010,2010
06180310,Berkshire Hills - Monument Valley Regional Middle School,375,4.5,2.1,370,96.8,student_mobility_2010,2010
06180035,Berkshire Hills - Muddy Brook Regional Elementary School,439,10.5,6.6,412,95.4,student_mobility_2010,2010
00280005,Berlin - Berlin Memorial,222,8.1,6.3,212,96.2,student_mobility_2010,2010
06200505,Berlin-Boylston - Tahanto Reg High,454,3.3,1.8,447,98.2,student_mobility_2010,2010
00300055,Beverly - Ayers/Ryal Side Sch,466,12.5,10.5,447,91.3,student_mobility_2010,2010
00300505,Beverly - Beverly High,1272,7.1,3.5,1247,94.8,student_mobility_2010,2010
00300305,Beverly - Briscoe Middle,971,5.4,3.4,944,97.4,student_mobility_2010,2010
00300010,Beverly - Centerville Elementary,406,23.9,22.7,386,80.1,student_mobility_2010,2010
00300015,Beverly - Cove Elementary,514,13.8,10.5,487,91.0,student_mobility_2010,2010
00300033,Beverly - Hannah Elementary,380,4.5,1.6,375,96.8,student_mobility_2010,2010
00300040,Beverly - North Beverly Elementary,401,6.0,3.5,394,95.7,student_mobility_2010,2010
00310505,Billerica - Billerica Memorial High School,1722,11.8,8.0,1630,93.2,student_mobility_2010,2010
00310030,Billerica - Eugene C Vining,284,8.5,4.9,273,95.2,student_mobility_2010,2010
00310007,Billerica - Frederick J Dutile,432,11.8,5.1,418,91.2,student_mobility_2010,2010
00310026,Billerica - Hajjar Elementary,562,11.0,5.0,541,92.4,student_mobility_2010,2010
00310012,Billerica - John F Kennedy,466,6.9,1.7,463,93.7,student_mobility_2010,2010
00310310,Billerica - Locke Middle,716,6.7,3.1,703,95.0,student_mobility_2010,2010
00310305,Billerica - Marshall Middle School,851,6.8,3.9,833,95.2,student_mobility_2010,2010
00310015,Billerica - Parker,415,17.6,8.0,395,86.6,student_mobility_2010,2010
00310005,Billerica - Thomas Ditson,785,8.8,4.6,758,94.5,student_mobility_2010,2010
08050605,Blackstone Valley Regional Vocational Technical - Blackstone Valley,1142,4.1,2.3,1141,96.0,student_mobility_2010,2010
06220015,Blackstone-Millville - A F Maloney,235,6.0,2.6,230,96.1,student_mobility_2010,2010
06220505,Blackstone-Millville - Blackstone Millville RHS,568,9.7,4.8,549,93.4,student_mobility_2010,2010
06220405,Blackstone-Millville - Frederick W. Hartnett Middle School,517,6.4,3.5,504,96.0,student_mobility_2010,2010
06220008,Blackstone-Millville - John F Kennedy Elem,466,8.2,3.7,452,94.7,student_mobility_2010,2010
06220010,Blackstone-Millville - Millville Elem,359,10.9,6.1,342,93.6,student_mobility_2010,2010
08060605,Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,851,3.5,2.0,848,96.8,student_mobility_2010,2010
00350007,Boston - Agassiz,568,28.7,23.4,488,83.0,student_mobility_2010,2010
00350541,Boston - Another Course To College,223,17.9,12.6,207,88.4,student_mobility_2010,2010
00350003,Boston - Baldwin ELC,183,32.2,27.9,140,88.6,student_mobility_2010,2010
00350021,Boston - Beethoven,314,22.3,16.9,280,87.1,student_mobility_2010,2010
00350390,Boston - Blackstone,646,24.5,21.5,566,86.2,student_mobility_2010,2010
00350548,Boston - Boston Adult Academy,354,79.9,73.5,216,32.9,student_mobility_2010,2010
00350546,Boston - Boston Arts Academy,430,28.1,19.5,430,71.9,student_mobility_2010,2010
00350558,Boston - Boston Community Leadership Academy,438,11.0,6.4,427,91.3,student_mobility_2010,2010
00350507,Boston - Boston International High School,288,55.9,54.5,202,62.9,student_mobility_2010,2010
00350560,Boston - Boston Latin,2395,1.5,0.5,2394,98.5,student_mobility_2010,2010
00350545,Boston - Boston Latin Academy,1762,3.0,1.5,1759,97.2,student_mobility_2010,2010
00350413,Boston - Boston Middle School Academy,66,84.9,81.8,12,83.3,student_mobility_2010,2010
00350012,Boston - Boston Teachers Union School,157,18.5,15.3,140,91.4,student_mobility_2010,2010
00350505,Boston - Brighton High,1341,97.1,91.1,1196,3.3,student_mobility_2010,2010
00350576,Boston - Brook Farm Business and Service Career Academ,352,21.6,13.9,341,80.9,student_mobility_2010,2010
00350036,Boston - Carter Developmental Center,24,16.7,8.3,24,83.3,student_mobility_2010,2010
00350054,Boston - Charles H Taylor,563,27.9,24.7,473,85.8,student_mobility_2010,2010
00350052,Boston - Charles Sumner,537,23.7,17.1,501,81.8,student_mobility_2010,2010
00350515,Boston - Charlestown High,1012,40.8,33.4,894,67.0,student_mobility_2010,2010
00350430,Boston - Clarence R Edwards Middle,550,22.9,16.0,494,85.8,student_mobility_2010,2010
00350518,Boston - Community Academy,115,80.9,71.3,53,41.5,student_mobility_2010,2010
00350581,Boston - Community Academy of Science and Health,502,60.0,55.2,375,53.6,student_mobility_2010,2010
00350020,Boston - Curley K-8 School,746,23.6,19.8,665,85.7,student_mobility_2010,2010
00350062,Boston - Curtis Guild,301,8.0,3.7,297,93.3,student_mobility_2010,2010
00350066,Boston - Dante Alighieri,136,10.3,8.8,130,93.9,student_mobility_2010,2010
00350072,Boston - David A Ellis,369,41.5,33.6,313,69.0,student_mobility_2010,2010
00350074,Boston - Dearborn,321,30.8,26.8,282,78.7,student_mobility_2010,2010
00350077,Boston - Dennis C Haley,291,17.2,12.4,273,88.3,student_mobility_2010,2010
00350080,Boston - Donald Mckay,720,8.2,4.4,710,93.1,student_mobility_2010,2010
00350651,Boston - Dorchester Academy,493,52.7,44.2,425,54.8,student_mobility_2010,2010
00350008,Boston - Dr. Catherine Ellison-Rosa Parks Early Ed Sch,199,12.6,10.1,188,92.6,student_mobility_2010,2010
00350009,Boston - East Boston ECC,185,17.3,15.1,166,92.2,student_mobility_2010,2010
00350530,Boston - East Boston High,1541,46.1,39.7,1381,60.1,student_mobility_2010,2010
00350375,Boston - Edison K-8,810,29.5,22.7,703,81.2,student_mobility_2010,2010
00350088,Boston - Edward Everett,298,20.8,17.1,260,90.8,student_mobility_2010,2010
00350543,Boston - Egleston Comm High School,178,75.8,71.9,90,47.8,student_mobility_2010,2010
00350005,Boston - ELC - East Zone,129,12.4,10.1,123,91.9,student_mobility_2010,2010
00350006,Boston - ELC - West Zone,106,23.6,17.0,94,86.2,student_mobility_2010,2010
00350094,Boston - Elihu Greenwood,389,36.8,30.9,347,70.9,student_mobility_2010,2010
00350096,Boston - Eliot Elementary,294,13.3,10.5,277,92.1,student_mobility_2010,2010
00350100,Boston - Ellis Mendell,210,32.9,26.7,183,77.1,student_mobility_2010,2010
00350102,Boston - Emily A Fifield,325,23.4,16.3,302,82.5,student_mobility_2010,2010
00350522,Boston - Excel High School,425,27.3,19.1,388,79.6,student_mobility_2010,2010
00350108,Boston - Farragut,231,17.3,10.4,216,88.4,student_mobility_2010,2010
00350540,Boston - Fenway High School,297,9.8,7.1,288,93.1,student_mobility_2010,2010
00350116,Boston - Franklin D Roosevelt,442,15.4,12.7,406,92.1,student_mobility_2010,2010
00350326,Boston - Gardner Pilot Academy,362,14.9,11.6,342,90.1,student_mobility_2010,2010
00350122,Boston - George H Conley,223,23.3,19.3,200,85.5,student_mobility_2010,2010
00350426,Boston - Harbor School,288,17.4,13.9,286,83.2,student_mobility_2010,2010
00350200,Boston - Harvard-Kent,523,27.2,20.8,454,83.9,student_mobility_2010,2010
00350010,Boston - Haynes Early Education Center,199,21.1,18.6,181,86.7,student_mobility_2010,2010
00350135,Boston - Henry Grew,282,27.7,20.6,255,80.0,student_mobility_2010,2010
00350377,Boston - Higginson/Lewis K-8,420,39.1,29.5,382,67.0,student_mobility_2010,2010
00350750,Boston - Horace Mann School for the Deaf,154,22.1,14.9,138,87.0,student_mobility_2010,2010
00350141,Boston - Hugh Roe O'Donnell,281,11.7,7.5,268,92.5,student_mobility_2010,2010
00350013,Boston - Jackson Mann,776,25.4,21.4,691,83.8,student_mobility_2010,2010
00350146,Boston - James Condon Elem,753,21.5,15.8,691,85.5,student_mobility_2010,2010
00350154,Boston - James J Chittick,319,30.4,27.3,289,76.8,student_mobility_2010,2010
00350156,Boston - James Otis,344,18.9,11.9,314,88.9,student_mobility_2010,2010
00350485,Boston - James P Timilty Middle,725,23.0,18.3,667,83.7,student_mobility_2010,2010
00350153,Boston - James W Hennigan,524,22.1,17.9,478,85.4,student_mobility_2010,2010
00350525,Boston - Jeremiah E Burke High,906,59.8,49.9,771,47.2,student_mobility_2010,2010
00350172,Boston - John D Philbrick,148,14.9,10.8,137,92.0,student_mobility_2010,2010
00350166,Boston - John F Kennedy,383,26.1,20.4,352,80.4,student_mobility_2010,2010
00350178,Boston - John Marshall,798,36.3,28.7,691,73.5,student_mobility_2010,2010
00350167,Boston - John P Holland,724,25.6,20.9,653,82.5,student_mobility_2010,2010
00350179,Boston - John W McCormack,680,22.7,17.7,616,85.4,student_mobility_2010,2010
00350180,Boston - John Winthrop,343,19.8,14.3,319,86.2,student_mobility_2010,2010
00350182,Boston - Joseph J Hurley,345,18.6,13.3,323,87.0,student_mobility_2010,2010
00350183,Boston - Joseph Lee,381,20.7,16.5,343,88.1,student_mobility_2010,2010
00350184,Boston - Joseph P Manning,168,23.2,16.1,152,84.9,student_mobility_2010,2010
00350181,Boston - Joseph P Tynan,353,33.4,25.8,317,74.1,student_mobility_2010,2010
00350286,Boston - Josiah Quincy,819,7.7,6.0,781,96.8,student_mobility_2010,2010
00350190,Boston - Joyce Kilmer,439,9.3,6.4,420,94.8,student_mobility_2010,2010
00350376,Boston - King K-8,458,33.6,28.4,407,74.7,student_mobility_2010,2010
00350001,Boston - Lee Academy,318,17.6,15.7,281,93.2,student_mobility_2010,2010
00350383,Boston - Lilla G. Frederick Middle School,697,19.4,16.4,648,86.7,student_mobility_2010,2010
00350262,Boston - Lyndon,527,8.9,8.0,512,93.8,student_mobility_2010,2010
00350655,Boston - Lyon Upper 9-12,25,28.0,28.0,18,100.0,student_mobility_2010,2010
00350537,Boston - Madison Park High,1426,29.0,21.9,1393,72.7,student_mobility_2010,2010
00350215,Boston - Manassah E Bradley,313,19.8,14.7,282,89.0,student_mobility_2010,2010
00350405,Boston - Mario Umana Middle School Academy,573,27.8,21.8,487,85.0,student_mobility_2010,2010
00350004,Boston - Mary Lyon,123,5.7,3.3,120,96.7,student_mobility_2010,2010
00350227,Boston - Mather,594,16.7,13.3,547,90.5,student_mobility_2010,2010
00350226,Boston - Mattahunt,630,28.1,23.2,553,81.9,student_mobility_2010,2010
00350229,Boston - Maurice J Tobin,483,24.8,19.3,451,80.5,student_mobility_2010,2010
00350578,Boston - Media Communications Technology High School,386,44.0,38.9,353,61.2,student_mobility_2010,2010
00350231,Boston - Michael J Perkins,223,35.0,21.5,200,72.5,student_mobility_2010,2010
00350378,Boston - Mildred Avenue K-8,862,29.8,22.9,754,80.2,student_mobility_2010,2010
00350382,Boston - Mission Hill School,173,11.0,8.7,165,93.3,student_mobility_2010,2010
00350538,Boston - Monument High School,372,37.1,26.6,331,70.7,student_mobility_2010,2010
00350237,Boston - Mozart,163,21.5,16.6,144,88.9,student_mobility_2010,2010
00350243,Boston - Nathan Hale,181,22.1,11.6,169,83.4,student_mobility_2010,2010
00350542,Boston - New Mission High School,268,32.5,28.4,257,70.4,student_mobility_2010,2010
00350138,Boston - O W Holmes,306,23.2,18.6,279,84.2,student_mobility_2010,2010
00350575,Boston - O'Bryant Sch Math/Science,1220,5.7,2.5,1212,95.0,student_mobility_2010,2010
00350577,Boston - Odyssey High School,388,33.8,26.8,346,74.3,student_mobility_2010,2010
00350255,Boston - Oliver Hazard Perry,253,15.4,10.3,237,90.3,student_mobility_2010,2010
00350257,Boston - Orchard Gardens,747,21.8,17.9,697,83.8,student_mobility_2010,2010
00350574,Boston - Parkway Academy of Technology and Health,333,24.9,18.6,319,78.4,student_mobility_2010,2010
00350435,Boston - Patrick F Gavin Middle,506,28.1,19.4,464,78.5,student_mobility_2010,2010
00350264,Boston - Patrick J Kennedy,271,15.1,10.0,257,89.5,student_mobility_2010,2010
00350266,Boston - Patrick O'Hearn,235,14.0,6.8,226,89.4,student_mobility_2010,2010
00350268,Boston - Paul A Dever,525,23.8,17.5,479,83.5,student_mobility_2010,2010
00350278,Boston - Phineas Bates,316,23.1,15.8,294,82.7,student_mobility_2010,2010
00350565,Boston - Quincy Upper School,508,6.5,3.2,499,95.2,student_mobility_2010,2010
00350691,Boston - Rafael Hernandez,417,11.3,6.7,411,90.0,student_mobility_2010,2010
00350288,Boston - Ralph Waldo Emerson,271,24.4,21.8,243,84.4,student_mobility_2010,2010
00350240,Boston - Richard J Murphy,906,10.2,6.0,868,93.8,student_mobility_2010,2010
00350298,Boston - Roger Clap,177,28.8,21.5,161,78.3,student_mobility_2010,2010
00350302,Boston - Samuel Adams,302,22.2,15.2,273,86.1,student_mobility_2010,2010
00350304,Boston - Samuel W Mason,221,13.6,10.0,207,92.3,student_mobility_2010,2010
00350308,Boston - Sarah Greenwood,389,12.1,8.5,373,91.7,student_mobility_2010,2010
00350690,Boston - Snowden Int'l High,401,31.2,24.2,397,69.5,student_mobility_2010,2010
00350583,Boston - Social Justice Academy,364,55.2,45.3,300,54.3,student_mobility_2010,2010
00350653,Boston - TechBoston Lower Academy,562,39.3,30.6,459,74.3,student_mobility_2010,2010
00350654,Boston - TechBoston Upper Academy,299,17.1,12.0,284,87.3,student_mobility_2010,2010
00350582,Boston - The Engineering School,372,53.8,43.6,321,53.6,student_mobility_2010,2010
00350535,Boston - The English High,894,39.4,30.8,784,69.1,student_mobility_2010,2010
00350328,Boston - Thomas J Kenny,321,33.6,31.8,247,86.2,student_mobility_2010,2010
00350579,Boston - Urban Science Academy,352,31.3,24.7,312,77.6,student_mobility_2010,2010
00350346,Boston - Warren-Prescott,476,13.7,8.6,450,91.3,student_mobility_2010,2010
00350445,Boston - Washington Irving Middle,674,31.3,23.7,597,77.6,student_mobility_2010,2010
00350366,Boston - William E Russell,418,22.7,17.9,382,84.6,student_mobility_2010,2010
00350360,Boston - William Ellery Channing,345,25.2,20.0,318,81.1,student_mobility_2010,2010
00350258,Boston - William H Ohrenberger,556,13.5,10.3,535,89.9,student_mobility_2010,2010
00350363,Boston - William McKinley,510,43.1,35.1,399,72.7,student_mobility_2010,2010
00350370,Boston - William Monroe Trotter,380,26.1,19.7,355,79.2,student_mobility_2010,2010
00350374,Boston - Winship Elementary,300,25.7,17.3,265,84.2,student_mobility_2010,2010
00350470,Boston - Wm B Rogers Middle,633,24.0,19.6,580,82.9,student_mobility_2010,2010
00350380,Boston - Young Achievers,550,17.1,13.1,528,86.4,student_mobility_2010,2010
04490305,Boston Collegiate Charter (District) - Boston Collegiate Charter School,522,8.4,4.4,515,92.8,student_mobility_2010,2010
