Org Code,Org Name,Churn Enrollment,% Churn,% Intake,Stability Enrollment,% Stability,Source,Year
02810165,Springfield - Arthur T Talmadge,310,10.6,4.5,301,92.0,student_mobility_2013,2013
02810360,Springfield - Balliet Middle School,111,65.8,51.4,63,60.3,student_mobility_2013,2013
02810010,Springfield - Boland School,863,24.8,19.9,758,85.6,student_mobility_2013,2013
02810025,Springfield - Brightwood,406,26.1,16.0,355,84.5,student_mobility_2013,2013
02810310,Springfield - Chestnut Street Middle,1050,23.3,13.4,954,84.4,student_mobility_2013,2013
02810035,Springfield - Daniel B Brunton,650,33.1,22.3,537,81.0,student_mobility_2013,2013
02810125,Springfield - Dryden Memorial,308,18.8,12.0,281,89.0,student_mobility_2013,2013
02810565,Springfield - Early College High School,59,47.5,39.0,42,73.8,student_mobility_2013,2013
02810030,Springfield - Elias Brookings,429,42.4,32.6,347,71.2,student_mobility_2013,2013
02810325,Springfield - Forest Park Middle,652,31.0,19.2,554,81.2,student_mobility_2013,2013
02810075,Springfield - Frank H Freedman,327,30.0,17.7,283,80.9,student_mobility_2013,2013
02810080,Springfield - Frederick Harris,766,27.7,16.4,685,80.9,student_mobility_2013,2013
02810575,Springfield - Gateway to College,60,78.3,73.3,25,52.0,student_mobility_2013,2013
02810195,Springfield - Gerena,775,29.3,20.0,684,80.1,student_mobility_2013,2013
02810065,Springfield - Glenwood,355,22.3,16.6,309,89.3,student_mobility_2013,2013
02810068,Springfield - Glickman Elementary,305,18.7,11.1,279,88.9,student_mobility_2013,2013
02810510,Springfield - High School Of Commerce,1499,44.3,24.5,1330,62.8,student_mobility_2013,2013
02810530,Springfield - High School/Science-Tech,1561,27.0,14.7,1427,79.8,student_mobility_2013,2013
02810050,Springfield - Hiram L Dorman,312,18.6,9.6,288,88.2,student_mobility_2013,2013
02810085,Springfield - Homer Street,486,33.3,21.6,406,79.8,student_mobility_2013,2013
02810100,Springfield - Indian Orchard Elementary,784,26.7,16.6,693,83.0,student_mobility_2013,2013
02810328,Springfield - John F Kennedy Middle,744,24.3,12.6,675,83.4,student_mobility_2013,2013
02810320,Springfield - John J Duggan Middle,618,18.3,10.2,573,88.1,student_mobility_2013,2013
02810110,Springfield - Kensington Avenue,390,25.6,15.6,335,86.6,student_mobility_2013,2013
02810115,Springfield - Liberty,281,14.2,10.7,262,92.0,student_mobility_2013,2013
02810560,Springfield - Liberty Preparatory Academy,53,77.4,67.9,31,38.7,student_mobility_2013,2013
02810120,Springfield - Lincoln,508,27.8,16.3,448,81.9,student_mobility_2013,2013
02810330,Springfield - M Marcus Kiley Middle,811,26.8,16.4,709,83.8,student_mobility_2013,2013
02810060,Springfield - Margaret C Ells,307,39.1,33.2,246,76.0,student_mobility_2013,2013
02810140,Springfield - Mary M Lynch,292,12.7,8.2,275,92.7,student_mobility_2013,2013
02810155,Springfield - Mary M Walsh,335,19.1,8.7,309,87.7,student_mobility_2013,2013
02810145,Springfield - Mary O Pottenger,480,22.9,14.8,433,85.5,student_mobility_2013,2013
02810023,Springfield - Milton Bradley School,608,28.9,18.1,534,80.9,student_mobility_2013,2013
02810620,Springfield - Putnam Vocational Technical High School,1339,8.1,4.5,1305,94.3,student_mobility_2013,2013
02810055,Springfield - Rebecca M Johnson,1023,29.8,19.9,879,81.7,student_mobility_2013,2013
02810020,Springfield - Samuel Bowles,409,30.1,19.6,350,81.7,student_mobility_2013,2013
02810355,Springfield - South End Middle School,341,29.6,18.2,294,81.6,student_mobility_2013,2013
02810500,Springfield - Springfield Central High,2074,11.6,5.7,2030,90.3,student_mobility_2013,2013
02810570,Springfield - Springfield High School,183,63.4,43.2,121,55.4,student_mobility_2013,2013
02810005,Springfield - Springfield Public Day Elementary School,72,48.6,38.9,44,84.1,student_mobility_2013,2013
02810550,Springfield - Springfield Public Day High School,162,50.0,25.9,131,61.8,student_mobility_2013,2013
02810345,Springfield - Springfield Public Day Middle School,87,36.8,29.9,63,87.3,student_mobility_2013,2013
02810350,Springfield - STEM Middle Academy,298,11.7,7.0,282,93.3,student_mobility_2013,2013
02810160,Springfield - Sumner Avenue,661,34.0,22.7,565,77.2,student_mobility_2013,2013
02810205,Springfield - The Springfield Renaissance School,718,8.2,4.6,687,95.9,student_mobility_2013,2013
02810015,Springfield - Thomas M Balliet,364,29.9,18.7,320,79.7,student_mobility_2013,2013
02810340,Springfield - Van Sickle Middle School,1109,20.0,12.8,1009,87.9,student_mobility_2013,2013
02810180,Springfield - Warner,363,27.0,16.3,331,80.1,student_mobility_2013,2013
02810185,Springfield - Washington,586,31.4,21.0,497,80.9,student_mobility_2013,2013
02810190,Springfield - White Street,493,41.0,28.2,389,74.8,student_mobility_2013,2013
02810045,Springfield - William N. DeBerry,327,36.7,25.1,269,77.0,student_mobility_2013,2013
02840003,Stoneham - Central,348,5.5,3.4,341,96.5,student_mobility_2013,2013
02840005,Stoneham - Colonial Park,226,12.8,9.7,223,88.3,student_mobility_2013,2013
02840025,Stoneham - Robin Hood,282,2.8,1.8,277,98.9,student_mobility_2013,2013
02840030,Stoneham - South,345,20.3,18.8,322,85.4,student_mobility_2013,2013
02840505,Stoneham - Stoneham High,692,4.3,2.9,678,97.6,student_mobility_2013,2013
02840405,Stoneham - Stoneham Middle School,572,2.8,1.9,563,98.8,student_mobility_2013,2013
02850012,Stoughton - Edwin A Jones Early Childhood Center,116,27.6,20.7,98,85.7,student_mobility_2013,2013
02850010,Stoughton - Helen Hansen Elementary,312,11.5,7.4,292,94.5,student_mobility_2013,2013
02850025,Stoughton - Joseph H Gibbons,394,5.1,3.0,386,96.9,student_mobility_2013,2013
02850014,Stoughton - Joseph R Dawe Jr Elementary,394,11.7,6.1,373,93.3,student_mobility_2013,2013
02850405,Stoughton - O'Donnell Middle School,942,4.7,2.7,922,97.4,student_mobility_2013,2013
02850015,Stoughton - South Elementary,247,4.9,2.0,242,97.1,student_mobility_2013,2013
02850505,Stoughton - Stoughton High,1054,6.7,3.9,1032,95.3,student_mobility_2013,2013
02850020,Stoughton - West Elementary,444,13.5,9.0,416,92.3,student_mobility_2013,2013
02870005,Sturbridge - Burgess Elementary,989,6.2,4.3,953,97.4,student_mobility_2013,2013
04890505,Sturgis Charter Public (District) - Sturgis Charter Public School,744,4.4,2.0,744,95.6,student_mobility_2013,2013
02880305,Sudbury - Ephraim Curtis Middle,1076,2.2,1.4,1066,98.7,student_mobility_2013,2013
02880025,Sudbury - General John Nixon Elementary,412,5.8,2.9,401,96.8,student_mobility_2013,2013
02880015,Sudbury - Israel Loring School,496,1.2,0.4,494,99.2,student_mobility_2013,2013
02880010,Sudbury - Josiah Haynes,420,6.9,4.0,409,95.6,student_mobility_2013,2013
02880030,Sudbury - Peter Noyes,661,5.4,4.4,637,98.1,student_mobility_2013,2013
02890005,Sunderland - Sunderland Elementary,194,10.8,7.7,183,94.5,student_mobility_2013,2013
02900003,Sutton - Sutton Early Learning,392,5.6,3.8,383,96.6,student_mobility_2013,2013
02900005,Sutton - Sutton Elementary,376,2.7,1.6,371,98.7,student_mobility_2013,2013
02900510,Sutton - Sutton High School,414,2.9,2.2,408,98.5,student_mobility_2013,2013
02900305,Sutton - Sutton Middle School,439,2.7,0.7,437,97.7,student_mobility_2013,2013
02910005,Swampscott - Clarke,235,9.8,9.4,231,91.8,student_mobility_2013,2013
02910010,Swampscott - Hadley,301,5.6,3.7,290,97.9,student_mobility_2013,2013
02910020,Swampscott - Stanley,299,4.3,2.0,296,96.6,student_mobility_2013,2013
02910505,Swampscott - Swampscott High,759,6.2,3.2,748,95.2,student_mobility_2013,2013
02910305,Swampscott - Swampscott Middle,767,8.1,7.2,738,95.5,student_mobility_2013,2013
02920006,Swansea - Elizabeth S Brown,277,5.8,2.5,271,96.3,student_mobility_2013,2013
02920015,Swansea - Gardner,282,6.7,4.6,272,96.7,student_mobility_2013,2013
02920505,Swansea - Joseph Case High,588,7.0,2.4,578,94.6,student_mobility_2013,2013
02920305,Swansea - Joseph Case Jr High,498,4.2,3.2,488,97.7,student_mobility_2013,2013
02920020,Swansea - Joseph G Luther,223,4.0,4.0,215,99.5,student_mobility_2013,2013
02920017,Swansea - Mark G Hoyle Elementary,259,6.9,6.2,245,98.4,student_mobility_2013,2013
07700405,Tantasqua - Tantasqua Regional Jr High,625,4.5,2.9,615,97.1,student_mobility_2013,2013
07700505,Tantasqua - Tantasqua Regional Sr High,807,7.7,4.1,790,94.3,student_mobility_2013,2013
07700605,Tantasqua - Tantasqua Regional Vocational,415,7.7,2.4,407,94.1,student_mobility_2013,2013
02930315,Taunton - Benjamin Friedman Middle,774,7.5,3.4,751,95.3,student_mobility_2013,2013
02930005,Taunton - Caleb Barnum,339,24.2,19.8,273,94.1,student_mobility_2013,2013
02930010,Taunton - East Taunton Elementary,636,9.9,6.6,598,95.8,student_mobility_2013,2013
02930007,Taunton - Edmund Hatch Bennett,339,10.3,5.0,322,94.4,student_mobility_2013,2013
02930056,Taunton - Edward F Leddy,135,15.6,5.2,129,88.4,student_mobility_2013,2013
02930027,Taunton - Elizabeth Pole,658,16.3,7.8,612,90.0,student_mobility_2013,2013
02930057,Taunton - H H Galligan,292,19.2,8.2,272,86.8,student_mobility_2013,2013
02930035,Taunton - Hopewell,349,16.6,10.6,317,91.8,student_mobility_2013,2013
02930305,Taunton - John F Parker Middle,428,12.6,7.5,401,93.3,student_mobility_2013,2013
02930008,Taunton - Joseph C Chamberlain,551,7.3,4.9,527,97.0,student_mobility_2013,2013
02930042,Taunton - Joseph H Martin,700,8.0,5.3,668,96.4,student_mobility_2013,2013
02930015,Taunton - Mulcahey Elementary School,483,14.1,7.9,447,92.8,student_mobility_2013,2013
02930525,Taunton - Taunton Alternative High School,136,100.0,100.0,0,0.0,student_mobility_2013,2013
02930505,Taunton - Taunton High,2491,14.5,5.4,2409,88.5,student_mobility_2013,2013
02950010,Tewksbury - Heath-Brook,373,5.4,2.9,364,97.0,student_mobility_2013,2013
02950023,Tewksbury - John F. Ryan,667,4.5,3.1,652,97.7,student_mobility_2013,2013
02950305,Tewksbury - John W. Wynn Middle,731,3.6,2.1,720,97.9,student_mobility_2013,2013
02950001,Tewksbury - L F Dewing,592,11.1,6.4,565,93.1,student_mobility_2013,2013
02950025,Tewksbury - Louise Davy Trahan,297,5.4,2.7,290,96.9,student_mobility_2013,2013
02950020,Tewksbury - North Street,343,7.6,3.8,333,95.2,student_mobility_2013,2013
02950505,Tewksbury - Tewksbury Memorial High,918,3.6,2.3,903,98.0,student_mobility_2013,2013
02960005,Tisbury - Tisbury Elementary,350,12.6,8.9,332,92.2,student_mobility_2013,2013
02980005,Topsfield - Proctor Elementary,250,2.8,2.0,245,99.2,student_mobility_2013,2013
02980010,Topsfield - Steward Elementary,366,4.9,3.8,352,98.9,student_mobility_2013,2013
08780605,Tri County Regional Vocational Technical - Tri County Regional Vocational Technical,1036,10.0,6.3,1024,91.0,student_mobility_2013,2013
07730020,Triton - Newbury Elementary,625,6.4,3.7,617,94.8,student_mobility_2013,2013
07730025,Triton - Pine Grove,564,8.2,5.9,552,93.8,student_mobility_2013,2013
07730015,Triton - Salisbury Elementary,559,11.6,8.4,540,91.5,student_mobility_2013,2013
07730505,Triton - Triton Regional High School,761,6.0,1.7,751,95.2,student_mobility_2013,2013
07730405,Triton - Triton Regional Middle School,452,4.9,2.9,444,96.8,student_mobility_2013,2013
03000005,Truro - Truro Central,147,5.4,2.7,145,95.9,student_mobility_2013,2013
03010020,Tyngsborough - Tyngsborough Elementary,928,28.3,26.5,890,74.7,student_mobility_2013,2013
03010505,Tyngsborough - Tyngsborough High School,535,6.7,3.7,523,95.4,student_mobility_2013,2013
03010305,Tyngsborough - Tyngsborough Middle,463,1.9,0.6,460,98.7,student_mobility_2013,2013
04800405,UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,485,12.4,6.0,472,90.0,student_mobility_2013,2013
07740010,Up-Island Regional - Chilmark Elementary,59,15.3,6.8,56,89.3,student_mobility_2013,2013
