Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
01760315,95.4,8.1,29.6,8.7,2015,0.0
02210005,95.2,8.3,34.3,8.4,2015,0.0
07660505,94.6,9.5,34.6,10.3,2015,0.2
01490075,95.6,7.3,29.3,9.3,2015,0.9
01480005,95.5,7.6,31.3,8.4,2015,0.6
01580305,96.2,6.7,23.8,4.6,2015,0.0
01330025,95.4,8.0,31.8,9.3,2015,0.3
02360305,93.7,11.0,43.5,23.0,2015,0.2
03210010,96.1,6.8,22.6,6.5,2015,0.0
01530515,82.4,29.7,77.4,64.5,2015,0.0
01310019,96.6,6.0,16.3,2.1,2015,0.2
02810180,95.7,7.2,31.0,8.9,2015,4.5
03250505,91.7,14.1,46.0,24.5,2015,7.4
02810025,93.3,11.3,49.4,25.3,2015,1.5
01680505,95.0,8.7,30.3,10.0,2015,0.2
01770505,94.0,10.6,36.5,13.6,2015,0.3
03440505,95.1,8.5,30.4,11.9,2015,0.1
02850025,96.1,6.8,24.8,5.6,2015,0.0
01690005,96.7,5.7,15.2,3.5,2015,0.8
00650505,95.5,7.9,29.4,6.1,2015,0.1
02810325,92.6,12.2,45.4,24.0,2015,3.1
00350231,92.8,12.2,52.8,26.4,2015,5.6
01250005,96.0,7.1,24.8,4.3,2015,0.8
00950065,93.3,11.5,49.4,23.0,2015,0.3
00310030,96.6,5.9,17.6,3.9,2015,0.0
00350138,93.5,10.1,39.8,22.4,2015,1.2
00350166,93.7,10.8,48.0,20.5,2015,2.8
00260035,96.7,5.6,18.3,3.6,2015,0.0
06100025,96.2,6.3,21.7,5.7,2015,1.0
01050305,95.3,8.4,30.2,7.5,2015,0.0
02810023,91.3,13.8,55.1,30.5,2015,7.4
00510025,96.2,6.8,22.7,4.2,2015,0.0
00350268,90.8,15.4,60.8,36.2,2015,0.9
07550525,98.0,2.6,13.5,5.2,2015,27.9
03480280,95.3,7.8,28.2,12.2,2015,0.8
02010085,94.7,9.1,36.1,11.8,2015,3.1
03480605,95.8,7.3,26.8,8.6,2015,0.2
02200005,95.4,7.9,29.7,8.9,2015,0.0
02810550,68.3,41.4,81.8,78.0,2015,19.3
04680505,96.9,5.5,3.0,3.0,2015,0.0
02100410,95.1,8.5,31.4,11.2,2015,0.0
06800050,96.4,6.4,21.6,2.7,2015,0.0
03100310,79.3,31.5,83.3,58.3,2015,0.0
01410505,94.5,9.3,30.0,13.5,2015,2.0
01590005,96.3,6.6,20.5,3.7,2015,0.0
02810340,92.6,12.6,46.7,24.4,2015,2.7
07650018,94.7,9.6,42.2,10.0,2015,0.0
