Org Code,% Emergency Removal,% Expulsion,% In-School Suspension,% Out-of-School Suspension,% Permanent Expulsion,% Removed to Alternate Setting,SCHOOL,Source,Students,Students Disciplined,Year
00140505,,,5.8,3.4,0.0,0.0,Ashland - Ashland High,student_suspensions_2013,730,51,2013
00140405,,,2.6,1.5,0.0,0.0,Ashland - Ashland Middle,student_suspensions_2013,546,20,2013
00140015,,,0.8,0.6,0.0,0.0,Ashland - David Mindess,student_suspensions_2013,653,9,2013
00140010,,,0.0,1.6,0.0,0.0,Ashland - Henry E Warren Elementary,student_suspensions_2013,578,9,2013
00140005,,,,,,,Ashland - William Pittaway Elementary,student_suspensions_2013,127,0,2013
08010605,,,9.7,8.1,0.0,0.0,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,student_suspensions_2013,1019,152,2013
06150505,,,0.2,19.6,0.0,0.0,Athol-Royalston - Athol High,student_suspensions_2013,418,82,2013
06150305,,,0.7,11.0,0.0,0.0,Athol-Royalston - Athol-Royalston Middle School,student_suspensions_2013,454,52,2013
06150016,,,0.3,2.0,0.0,0.0,Athol-Royalston - Pleasant Street,student_suspensions_2013,300,7,2013
06150020,,,0.8,5.3,0.0,0.0,Athol-Royalston - Riverbend,student_suspensions_2013,133,8,2013
06150050,,,,,,,Athol-Royalston - Royalston Community School,student_suspensions_2013,146,3,2013
06150025,,,,,,,Athol-Royalston - Sanders Street,student_suspensions_2013,149,2,2013
04910550,,,8.0,1.6,0.0,0.0,Atlantis Charter (District) - Atlantis Charter School,student_suspensions_2013,764,67,2013
00160001,,,,,,,Attleboro - A. Irvin Studley Elementary School,student_suspensions_2013,446,2,2013
00160505,,,7.3,11.3,0.0,0.0,Attleboro - Attleboro High,student_suspensions_2013,1811,255,2013
00160315,,,3.7,8.1,0.0,0.0,Attleboro - Cyril K. Brennan Middle School,student_suspensions_2013,626,59,2013
00160008,,,,,,,Attleboro - Early Learning Center,student_suspensions_2013,224,0,2013
00160045,,,,,,,Attleboro - Hill-Roberts Elementary School,student_suspensions_2013,529,2,2013
00160040,,,0.2,1.0,0.0,0.0,Attleboro - Hyman Fine Elementary School,student_suspensions_2013,488,6,2013
