,Name,Median Income,Zip Code,Percent Poverty,% HS Graduates,% College Graduates,Zip Perc White
406,ZCTA5 02726,72585,02726,10.4,86.1,26.8,97.0
407,ZCTA5 02738,76503,02738,2.7,93.9,50.3,91.8
408,ZCTA5 02739,86659,02739,5.5,95.5,47.9,96.7
409,ZCTA5 02740,35887,02740,28.6,73.5,17.9,65.5
410,ZCTA5 02743,67263,02743,2.2,83.0,23.1,94.6
411,ZCTA5 02744,31709,02744,28.6,64.2,14.5,72.8
412,ZCTA5 02745,51328,02745,12.6,77.1,17.9,89.7
413,ZCTA5 02746,26705,02746,52.2,60.7,7.6,59.4
414,ZCTA5 02747,70919,02747,7.9,80.6,25.5,88.2
415,ZCTA5 02748,64625,02748,6.2,81.7,34.7,91.7
416,ZCTA5 02760,80957,02760,5.9,94.7,40.4,90.8
417,ZCTA5 02762,91009,02762,3.8,95.4,42.4,93.6
418,ZCTA5 02764,78870,02764,0.0,93.9,24.1,99.1
419,ZCTA5 02766,91438,02766,2.8,94.7,36.6,95.0
420,ZCTA5 02767,83125,02767,9.7,93.5,35.1,86.9
421,ZCTA5 02769,88868,02769,2.7,93.5,37.4,97.2
422,ZCTA5 02770,97157,02770,4.3,93.2,40.7,91.8
423,ZCTA5 02771,76826,02771,7.6,91.9,32.9,96.1
424,ZCTA5 02777,73310,02777,9.3,88.7,23.8,98.0
425,ZCTA5 02779,86288,02779,1.1,88.1,28.0,97.8
426,ZCTA5 02780,50653,02780,15.3,81.7,17.9,87.3
427,ZCTA5 02790,79697,02790,2.3,85.7,30.2,98.1
