Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
00010002,11,2016,Abington - Center Elementary School,0.0,0.0,0.0,27.4,27.4,0.0
00010003,11,2016,Abington - Beaver Brook Elementary School,1.0,0.0,0.0,65.6,66.6,0.0
00010015,11,2016,Abington - Woodsdale Elementary School,2.0,0.0,0.0,31.6,33.6,0.0
00010405,11,2016,Abington - Frolio Middle School,1.0,0.0,1.0,35.7,38.7,1.0
00010505,11,2016,Abington - Abington High,1.0,0.0,2.0,53.7,56.7,0.0
00030025,11,2016,Acushnet - Acushnet Elementary School,1.0,0.0,0.0,61.8,62.8,0.0
00030305,11,2016,Acushnet - Albert F Ford Middle School,0.0,0.0,1.0,46.8,47.8,0.0
00050003,11,2016,Agawam - Agawam Early Childhood Center,1.0,0.0,0.0,43.0,44.0,0.0
00050010,11,2016,Agawam - Clifford M Granger,0.1,0.0,0.0,50.6,50.7,0.0
00050020,11,2016,Agawam - Benjamin J Phelps,0.1,0.0,0.0,51.7,51.9,0.0
00050025,11,2016,Agawam - Robinson Park,1.1,0.0,0.0,59.3,60.4,0.0
00050030,11,2016,Agawam - James Clark School,0.1,0.0,0.0,56.6,56.7,0.0
00050303,11,2016,Agawam - Roberta G. Doering School,4.1,0.0,1.0,77.1,82.2,0.0
00050405,11,2016,Agawam - Agawam Junior High,1.1,0.0,1.0,81.7,83.9,0.0
00050505,11,2016,Agawam - Agawam High,0.1,0.0,1.0,137.3,138.4,0.0
00070005,11,2016,Amesbury - Amesbury Elementary,0.0,0.0,0.0,59.4,59.4,0.0
00070010,11,2016,Amesbury - Charles C Cashman Elementary,0.0,0.0,0.0,63.6,63.6,0.0
00070013,11,2016,Amesbury - Amesbury Middle,0.0,0.0,1.0,80.2,81.2,0.0
00070505,11,2016,Amesbury - Amesbury High,0.0,0.0,1.0,67.1,68.1,0.0
00070515,11,2016,Amesbury - Amesbury Innovation High School,0.0,0.0,0.0,7.5,7.5,0.0
00080009,11,2016,Amherst - Crocker Farm Elementary,1.0,1.0,6.3,76.2,87.6,3.1
00080020,11,2016,Amherst - Fort River Elementary,0.0,1.0,7.5,68.5,78.0,1.0
00080050,11,2016,Amherst - Wildwood Elementary,10.0,5.4,6.0,61.6,83.0,0.0
00090003,11,2016,Andover - Bancroft Elementary,0.0,3.0,0.7,76.9,80.6,0.0
00090004,11,2016,Andover - High Plain Elementary,0.0,1.7,0.0,85.2,86.9,0.0
00090005,11,2016,Andover - Shawsheen School,0.9,0.8,1.9,29.8,33.5,0.0
00090010,11,2016,Andover - Henry C Sanborn Elementary,0.0,1.0,0.0,53.0,54.0,0.0
00090020,11,2016,Andover - South Elementary,0.0,1.0,0.0,70.1,71.1,0.0
00090025,11,2016,Andover - West Elementary,0.9,0.0,1.7,101.5,104.1,0.0
00090305,11,2016,Andover - Doherty Middle,0.0,2.0,1.0,72.4,76.4,1.0
00090310,11,2016,Andover - Andover West Middle,0.0,0.0,1.0,64.4,65.4,0.0
00090350,11,2016,Andover - Wood Hill Middle School,0.0,1.0,1.0,66.7,68.7,0.0
00090505,11,2016,Andover - Andover High,1.0,2.7,9.0,175.3,189.8,1.8
00100005,11,2016,Arlington - John A Bishop,2.0,0.0,3.0,36.3,41.3,0.0
00100010,11,2016,Arlington - Brackett,0.0,1.0,6.0,45.8,53.8,1.0
00100025,11,2016,Arlington - Cyrus E Dallin,0.0,1.4,1.0,53.6,56.0,0.0
00100030,11,2016,Arlington - Hardy,1.0,1.0,0.0,42.4,44.4,0.0
00100038,11,2016,Arlington - Menotomy Preschool,0.0,0.0,0.0,26.0,26.0,0.0
00100045,11,2016,Arlington - Peirce,1.0,1.0,0.0,31.4,33.4,0.0
00100050,11,2016,Arlington - Thompson,1.0,1.3,2.5,45.6,50.4,0.0
00100055,11,2016,Arlington - M Norcross Stratton,0.0,0.0,5.0,46.6,51.6,0.0
00100410,11,2016,Arlington - Ottoson Middle,1.0,4.0,8.8,117.3,131.0,0.0
00100505,11,2016,Arlington - Arlington High,2.0,2.4,5.0,128.9,138.2,0.0
00140005,11,2016,Ashland - William Pittaway Elementary,0.0,1.0,0.0,28.4,29.4,0.0
00140010,11,2016,Ashland - Henry E Warren Elementary,0.0,0.0,0.0,66.2,66.2,0.0
00140015,11,2016,Ashland - David Mindess,0.0,0.0,0.0,66.5,67.5,1.0
00140405,11,2016,Ashland - Ashland Middle,0.0,1.0,1.0,67.6,69.6,0.0
00140505,11,2016,Ashland - Ashland High,0.0,0.0,0.0,78.0,78.0,0.0
00160001,11,2016,Attleboro - A. Irvin Studley Elementary School,0.0,0.0,0.0,46.8,46.8,0.0
00160008,11,2016,Attleboro - Early Learning Center,0.0,0.0,1.0,28.8,31.1,1.3
00160035,11,2016,Attleboro - Thomas Willett Elementary School,0.0,0.0,1.0,43.7,44.7,0.0
00160040,11,2016,Attleboro - Hyman Fine Elementary School,0.0,0.0,0.0,37.7,38.2,0.5
00160045,11,2016,Attleboro - Hill-Roberts Elementary School,0.0,0.0,0.0,40.1,40.1,0.0
00160050,11,2016,Attleboro - Peter Thacher Elementary School,0.0,1.0,0.0,63.8,66.3,1.5
00160305,11,2016,Attleboro - Robert J. Coelho Middle School,2.0,0.0,1.0,60.1,63.1,0.0
00160315,11,2016,Attleboro - Cyril K. Brennan Middle School,0.0,0.0,0.0,53.6,54.1,0.5
00160320,11,2016,Attleboro - Wamsutta Middle School,1.0,1.0,1.0,47.7,52.2,1.5
00160505,11,2016,Attleboro - Attleboro High,1.0,0.0,5.0,179.7,185.7,0.0
00160515,11,2016,Attleboro - Attleboro Community Academy,0.0,0.0,1.2,3.4,4.6,0.0
00170010,11,2016,Auburn - Bryn Mawr,0.0,0.0,0.0,38.7,38.7,0.0
00170025,11,2016,Auburn - Pakachoag School,0.0,0.0,0.0,38.2,38.2,0.0
00170030,11,2016,Auburn - Swanson Road Intermediate School,0.0,0.0,0.0,71.3,71.3,0.0
00170305,11,2016,Auburn - Auburn Middle,0.0,1.0,1.0,73.5,75.5,0.0
00170505,11,2016,Auburn - Auburn Senior High,1.0,0.5,2.0,89.4,92.9,0.0
00180010,11,2016,Avon - Ralph D Butler,1.6,0.0,0.0,43.9,45.5,0.0
00180510,11,2016,Avon - Avon Middle High School,2.4,1.0,1.0,41.6,46.0,0.0
00200001,11,2016,Barnstable - Enoch Cobb Early Learning Center,0.0,0.0,1.0,27.3,28.3,0.0
00200005,11,2016,Barnstable - West Barnstable Elementary,0.0,0.0,0.0,34.2,34.2,0.0
00200010,11,2016,Barnstable - Centerville Elementary,0.0,0.0,0.0,47.9,47.9,0.0
