Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
00010002,11,2012,Abington - Center Elementary School,1.0,0.0,0.0,25.0,26.0,0.0
00010003,11,2012,Abington - Beaver Brook Elementary School,1.0,0.0,0.0,60.2,61.2,0.0
00010015,11,2012,Abington - Woodsdale Elementary School,1.0,0.0,0.0,35.4,36.4,0.0
00010405,11,2012,Abington - Frolio Middle School,0.0,0.0,0.0,35.6,35.6,0.0
00010505,11,2012,Abington - Abington High,2.0,0.0,2.0,49.9,53.9,0.0
00020010,11,2012,Acton - Merriam,0.0,2.0,0.0,84.4,86.9,0.5
00020015,11,2012,Acton - McCarthy-Towne,1.0,0.0,0.0,56.8,57.8,0.0
00020020,11,2012,Acton - Douglas,0.0,0.2,0.0,50.5,50.8,0.0
00020025,11,2012,Acton - Gates,0.0,1.5,0.0,49.9,51.5,0.0
00020030,11,2012,Acton - Luther Conant,0.0,1.8,0.0,58.0,59.8,0.0
00030025,11,2012,Acushnet - Acushnet Elementary School,0.0,0.0,0.0,59.8,59.8,0.0
00030305,11,2012,Acushnet - Albert F Ford Middle School,0.0,0.0,0.0,51.1,51.1,0.0
00050003,11,2012,Agawam - Agawam Early Childhood Center,1.0,0.0,0.0,30.0,31.0,0.0
00050010,11,2012,Agawam - Clifford M Granger,0.0,0.0,0.0,47.1,47.1,0.0
00050020,11,2012,Agawam - Benjamin J Phelps,0.0,0.0,0.0,48.7,48.7,0.0
00050025,11,2012,Agawam - Robinson Park,0.0,0.0,0.0,58.0,58.0,0.0
00050030,11,2012,Agawam - James Clark School,0.0,0.0,0.0,52.9,52.9,0.0
00050303,11,2012,Agawam - Roberta G. Doering School,2.0,0.0,1.0,73.6,76.6,0.0
00050405,11,2012,Agawam - Agawam Junior High,0.0,0.0,0.0,81.1,81.1,0.0
00050505,11,2012,Agawam - Agawam High,0.0,0.0,1.0,132.1,133.1,0.0
00070005,11,2012,Amesbury - Amesbury Elementary,0.0,0.0,0.0,57.2,58.1,0.9
00070010,11,2012,Amesbury - Charles C Cashman Elementary,0.0,0.0,0.0,58.4,58.4,0.0
00070013,11,2012,Amesbury - Amesbury Middle,0.5,0.0,1.0,76.2,77.7,0.0
00070505,11,2012,Amesbury - Amesbury High,0.0,0.0,0.0,69.4,69.4,0.0
00080009,11,2012,Amherst - Crocker Farm Elementary,2.0,1.0,8.6,67.5,81.8,2.7
00080020,11,2012,Amherst - Fort River Elementary,4.0,3.0,10.3,59.5,79.2,2.5
00080050,11,2012,Amherst - Wildwood Elementary,5.9,6.0,2.6,83.7,100.2,2.0
00090003,11,2012,Andover - Bancroft Elementary,0.0,2.0,0.0,60.1,62.1,0.0
00090004,11,2012,Andover - High Plain Elementary,0.0,1.8,0.0,76.7,78.5,0.0
00090005,11,2012,Andover - Shawsheen School,0.0,0.0,1.0,51.4,52.4,0.0
00090010,11,2012,Andover - Henry C Sanborn Elementary,0.0,1.0,0.0,44.2,45.2,0.0
00090020,11,2012,Andover - South Elementary,0.0,1.0,0.0,64.6,65.6,0.0
00090025,11,2012,Andover - West Elementary,0.0,0.0,0.7,98.0,98.7,0.0
00090305,11,2012,Andover - Doherty Middle,1.0,2.0,1.0,59.0,64.0,1.0
00090310,11,2012,Andover - Andover West Middle,0.0,0.4,1.0,61.4,63.8,1.0
00090350,11,2012,Andover - Wood Hill Middle School,0.0,0.0,1.0,59.1,60.1,0.0
00090505,11,2012,Andover - Andover High,0.0,2.3,7.0,163.0,174.3,2.0
00100005,11,2012,Arlington - John A Bishop,1.0,0.0,1.0,41.7,44.7,1.0
00100010,11,2012,Arlington - Brackett,1.0,0.0,1.0,42.8,47.8,3.0
00100025,11,2012,Arlington - Cyrus E Dallin,0.0,1.0,0.0,46.8,49.8,2.0
00100030,11,2012,Arlington - Hardy,1.0,1.1,0.0,35.9,40.0,2.0
00100038,11,2012,Arlington - Menotomy Preschool,1.0,0.0,0.0,20.5,22.5,1.0
00100045,11,2012,Arlington - Peirce,1.0,1.0,0.0,42.1,44.1,0.0
00100050,11,2012,Arlington - Thompson,0.0,0.8,0.0,32.6,35.3,2.0
00100055,11,2012,Arlington - M Norcross Stratton,0.0,1.0,0.0,46.7,49.7,2.0
00100410,11,2012,Arlington - Ottoson Middle,1.0,1.0,2.0,101.3,107.3,2.0
00100505,11,2012,Arlington - Arlington High,0.0,3.3,1.6,112.4,118.7,1.4
00140005,11,2012,Ashland - William Pittaway Elementary,0.0,0.0,0.0,16.1,16.1,0.0
00140010,11,2012,Ashland - Henry E Warren Elementary,0.0,0.0,0.0,68.6,68.6,0.0
00140015,11,2012,Ashland - David Mindess,0.0,0.0,0.0,54.8,55.6,0.8
00140405,11,2012,Ashland - Ashland Middle,0.0,1.0,1.0,62.5,64.5,0.0
00140505,11,2012,Ashland - Ashland High,0.0,0.0,0.0,74.7,74.7,0.0
00160001,11,2012,Attleboro - A. Irvin Studley Elementary School,0.0,0.0,0.0,46.6,46.6,0.0
00160008,11,2012,Attleboro - Early Learning Center,0.0,0.0,0.0,22.8,23.8,1.0
00160035,11,2012,Attleboro - Thomas E. Willett School,0.0,0.0,2.0,40.0,42.0,0.0
00160040,11,2012,Attleboro - Hyman Fine Elementary School,0.0,0.0,0.0,39.3,39.3,0.0
00160045,11,2012,Attleboro - Hill-Roberts Elementary School,0.0,0.0,0.0,40.3,40.3,0.0
00160050,11,2012,Attleboro - Peter Thacher Elementary School,0.0,2.0,0.0,56.3,60.8,2.5
00160305,11,2012,Attleboro - Robert J. Coelho Middle School,1.0,0.0,0.0,59.2,60.2,0.0
00160315,11,2012,Attleboro - Cyril K. Brennan Middle School,1.0,0.0,0.0,60.2,61.2,0.0
00160320,11,2012,Attleboro - Wamsutta Middle School,0.0,0.0,0.0,57.6,58.6,1.0
00160505,11,2012,Attleboro - Attleboro High,1.0,1.0,5.0,178.9,185.9,0.0
00170005,11,2012,Auburn - Julia Bancroft,0.0,0.0,0.0,33.5,33.5,0.0
00170010,11,2012,Auburn - Bryn Mawr,0.0,0.0,0.0,35.8,35.8,0.0
00170015,11,2012,Auburn - Pakachoag,0.0,0.0,0.0,38.1,38.1,0.0
00170025,11,2012,Auburn - Mary D Stone,0.0,0.0,0.0,27.2,27.2,0.0
00170305,11,2012,Auburn - Auburn Middle,0.0,1.0,1.0,61.5,63.5,0.0
00170505,11,2012,Auburn - Auburn Senior High,0.0,2.0,1.0,89.4,92.4,0.0
00180010,11,2012,Avon - Ralph D Butler,1.0,0.4,0.0,42.5,43.9,0.0
00180510,11,2012,Avon - Avon Middle High School,0.0,0.2,1.0,41.9,43.1,0.0
00200004,11,2012,Barnstable - Barnstable Early Learning Center,0.0,0.0,1.0,23.4,24.4,0.0
00200005,11,2012,Barnstable - West Barnstable Elementary,0.0,0.0,0.0,29.6,29.6,0.0
00200010,11,2012,Barnstable - Centerville Elementary,0.0,0.0,0.0,40.3,40.5,0.2
00200025,11,2012,Barnstable - Hyannis West Elementary,1.0,0.0,0.4,47.8,49.2,0.0
00200045,11,2012,Barnstable - West Villages Elementary School,0.0,0.0,0.0,63.2,64.5,1.2999999999999998
00200315,11,2012,Barnstable - Barnstable Intermediate School,0.2,0.0,1.0,100.1,101.4,0.0
