Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
00010002,11,2015,Abington - Center Elementary School,0.0,0.0,0.0,28.5,28.5,0.0
00010003,11,2015,Abington - Beaver Brook Elementary School,2.0,0.0,0.0,65.1,67.1,0.0
00010015,11,2015,Abington - Woodsdale Elementary School,1.0,0.0,0.0,31.1,32.1,0.0
00010405,11,2015,Abington - Frolio Middle School,0.0,0.0,1.0,36.0,37.0,0.0
00010505,11,2015,Abington - Abington High,1.0,0.0,2.0,56.5,59.5,0.0
00030025,11,2015,Acushnet - Acushnet Elementary School,1.0,0.0,0.0,61.4,62.4,0.0
00030305,11,2015,Acushnet - Albert F Ford Middle School,0.0,0.0,0.0,47.5,47.5,0.0
00050003,11,2015,Agawam - Agawam Early Childhood Center,2.0,0.0,0.0,41.5,43.5,0.0
00050010,11,2015,Agawam - Clifford M Granger,0.1,0.0,1.0,51.0,52.1,0.0
00050020,11,2015,Agawam - Benjamin J Phelps,0.1,0.0,0.0,51.9,52.1,0.0
00050025,11,2015,Agawam - Robinson Park,1.1,0.0,0.0,63.3,64.5,0.0
00050030,11,2015,Agawam - James Clark School,0.1,0.0,0.0,54.1,54.2,0.0
00050303,11,2015,Agawam - Roberta G. Doering School,3.1,0.0,0.0,77.3,80.5,0.0
00050405,11,2015,Agawam - Agawam Junior High,0.1,0.0,0.0,81.5,81.7,0.0
00050505,11,2015,Agawam - Agawam High,0.1,0.0,1.0,137.1,138.2,0.0
00070005,11,2015,Amesbury - Amesbury Elementary,0.0,0.0,0.0,56.5,56.5,0.0
00070010,11,2015,Amesbury - Charles C Cashman Elementary,0.0,0.0,0.0,61.5,61.5,0.0
00070013,11,2015,Amesbury - Amesbury Middle,0.0,0.0,1.0,79.7,80.7,0.0
00070505,11,2015,Amesbury - Amesbury High,0.0,0.0,0.0,66.1,66.1,0.0
00080009,11,2015,Amherst - Crocker Farm Elementary,2.9,0.5,7.3,71.7,85.7,3.2
00080020,11,2015,Amherst - Fort River Elementary,0.0,1.0,8.5,74.3,84.8,1.0
00080050,11,2015,Amherst - Wildwood Elementary,10.9,5.5,5.0,61.2,84.6,2.0
00090003,11,2015,Andover - Bancroft Elementary,0.0,2.0,0.4,54.7,57.1,0.0
00090004,11,2015,Andover - High Plain Elementary,0.0,1.8,0.0,86.7,88.4,0.0
00090005,11,2015,Andover - Shawsheen School,0.9,0.8,1.0,51.3,54.0,0.0
00090010,11,2015,Andover - Henry C Sanborn Elementary,0.0,1.0,0.0,45.2,46.2,0.0
00090020,11,2015,Andover - South Elementary,0.0,1.0,0.0,66.3,67.3,0.0
