Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
00010003,11,2011,Abington - Abington ECC,1.0,0.0,0.0,68.6,69.6,0.0
00010015,11,2011,Abington - Woodsdale,2.0,0.0,0.0,37.8,39.8,0.0
00010405,11,2011,Abington - Frolio Middle School,0.0,0.0,0.0,29.5,29.5,0.0
00010505,11,2011,Abington - Abington High,1.0,0.0,1.0,49.6,51.6,0.0
00020010,11,2011,Acton - Merriam,0.0,2.0,0.0,80.5,83.5,1.0
00020015,11,2011,Acton - McCarthy-Towne,0.0,0.0,0.0,58.8,58.8,0.0
00020020,11,2011,Acton - Douglas,0.0,0.2,0.0,48.3,48.5,0.0
00020025,11,2011,Acton - Gates,0.0,1.5,0.0,47.9,49.4,0.0
00020030,11,2011,Acton - Luther Conant,0.0,2.2,0.0,56.0,58.2,0.0
00030025,11,2011,Acushnet - Acushnet Elementary Sch,0.0,0.0,0.0,60.3,60.3,0.0
00030305,11,2011,Acushnet - Albert F Ford Middle Sch,0.0,0.0,0.0,48.1,48.1,0.0
00050003,11,2011,Agawam - Agawam ECC,1.0,0.0,0.0,28.8,29.8,0.0
00050010,11,2011,Agawam - Clifford M Granger,0.0,0.0,0.0,48.0,48.0,0.0
00050020,11,2011,Agawam - Benjamin J Phelps,0.0,0.0,0.0,49.1,49.1,0.0
00050025,11,2011,Agawam - Robinson Park,0.0,0.0,0.0,59.9,59.9,0.0
00050030,11,2011,Agawam - James Clark School,0.0,0.0,0.0,58.0,58.0,0.0
00050303,11,2011,Agawam - Roberta G. Doering School,1.0,0.0,1.0,76.0,78.0,0.0
00050405,11,2011,Agawam - Agawam Junior High,0.0,0.0,0.0,89.1,89.1,0.0
00050505,11,2011,Agawam - Agawam High,0.0,0.0,2.0,131.7,133.7,0.0
00070005,11,2011,Amesbury - Amesbury Elementary,0.0,0.0,0.0,56.0,56.9,0.9
00070010,11,2011,Amesbury - Charles C Cashman El,0.0,0.0,0.0,57.3,57.3,0.0
00070013,11,2011,Amesbury - Amesbury Middle,0.5,0.0,2.0,80.6,83.1,0.0
00070505,11,2011,Amesbury - Amesbury High,0.0,0.0,0.0,74.1,74.1,0.0
00080009,11,2011,Amherst - Crocker Farm Elementary,1.0,2.0,9.1,65.8,80.3,2.5
00080020,11,2011,Amherst - Fort River Elementary,3.0,3.0,8.2,61.9,78.4,2.3
00080050,11,2011,Amherst - Wildwood Elementary,6.0,7.0,3.9,85.1,104.3,2.3
00090003,11,2011,Andover - Bancroft Elementary,0.0,2.0,0.0,61.6,63.6,0.0
00090004,11,2011,Andover - High Plain Elementary,0.0,0.9,0.0,76.1,77.0,0.0
00090005,11,2011,Andover - Shawsheen School,0.0,0.7,1.0,49.9,51.6,0.0
00090010,11,2011,Andover - Henry C Sanborn Elem,0.0,1.0,0.0,41.5,42.5,0.0
00090020,11,2011,Andover - South Elementary,0.0,1.0,0.0,65.9,66.9,0.0
00090025,11,2011,Andover - West Elementary,0.0,0.0,0.7,93.9,94.7,0.0
00090305,11,2011,Andover - Doherty Middle,0.0,2.0,1.0,64.7,68.7,1.0
00090310,11,2011,Andover - Andover West Middle,0.0,0.4,1.0,62.7,65.1,1.0
00090350,11,2011,Andover - Wood Hill Middle School,0.0,0.0,0.0,61.5,61.5,0.0
00090505,11,2011,Andover - Andover High,2.0,2.3,5.0,158.3,169.6,2.0
00100005,11,2011,Arlington - John A Bishop,1.0,0.0,0.0,37.7,38.7,0.0
00100010,11,2011,Arlington - Brackett,0.0,0.0,0.0,40.2,40.2,0.0
00100025,11,2011,Arlington - Cyrus E Dallin,0.0,1.0,0.0,48.4,50.4,1.0
00100030,11,2011,Arlington - Hardy,1.0,1.1,0.0,35.5,37.5,0.0
00100038,11,2011,Arlington - Menotomy Preschool,0.0,2.0,0.0,15.5,17.5,0.0
00100045,11,2011,Arlington - Peirce,1.0,1.0,0.0,37.7,39.7,0.0
00100050,11,2011,Arlington - Thompson,0.0,1.0,0.0,31.7,32.7,0.0
00100055,11,2011,Arlington - M Norcross Stratton,0.0,1.0,0.0,43.2,44.2,0.0
00100410,11,2011,Arlington - Ottoson Middle,1.0,1.0,0.0,107.8,110.8,1.0
00100505,11,2011,Arlington - Arlington High,0.0,3.0,0.5,109.8,113.3,0.0
00140005,11,2011,Ashland - William Pittaway Elem,0.0,0.0,0.0,22.9,22.9,0.0
00140010,11,2011,Ashland - Henry E Warren Elem,0.0,0.0,0.0,60.9,60.9,0.0
00140015,11,2011,Ashland - David Mindess,0.0,0.0,0.0,57.5,58.3,0.8
00140405,11,2011,Ashland - Ashland Middle,0.0,0.7,2.4,57.7,60.7,0.0
00140505,11,2011,Ashland - Ashland High,0.0,0.0,0.0,73.2,73.2,0.0
00160001,11,2011,Attleboro - A. Irvin Studley Elementary School,0.0,0.0,0.0,45.6,45.6,0.0
00160008,11,2011,Attleboro - Early Learning Center,0.0,0.0,0.0,25.3,26.3,1.0
00160035,11,2011,Attleboro - Thomas E. Willett School,0.0,0.0,2.0,40.7,42.7,0.0
00160040,11,2011,Attleboro - Hyman Fine Elementary School,0.0,0.0,0.0,35.5,35.5,0.0
00160045,11,2011,Attleboro - Hill-Roberts Elementary School,0.0,1.0,0.0,38.6,39.6,0.0
00160050,11,2011,Attleboro - Peter Thacher Elementary School,0.0,2.0,0.0,59.0,63.5,2.5
00160305,11,2011,Attleboro - Robert J. Coelho Middle School,1.0,0.0,0.0,58.2,59.2,0.0
00160315,11,2011,Attleboro - Cyril K. Brennan Middle School,1.0,0.0,0.0,65.1,66.2,0.0
00160320,11,2011,Attleboro - Wamsutta Middle School,0.0,1.0,0.0,60.1,61.1,0.0
00160505,11,2011,Attleboro - Attleboro High,1.0,1.0,4.0,176.1,182.9,0.8
00170005,11,2011,Auburn - Julia Bancroft,0.0,0.0,0.0,30.9,30.9,0.0
00170010,11,2011,Auburn - Bryn Mawr,0.0,0.0,0.0,37.6,37.6,0.0
00170015,11,2011,Auburn - Pakachoag,0.0,0.0,0.0,37.1,37.1,0.0
00170025,11,2011,Auburn - Mary D Stone,0.0,0.0,0.0,36.1,36.1,0.0
00170305,11,2011,Auburn - Auburn Middle,0.0,0.0,0.0,63.5,64.5,1.0
00170505,11,2011,Auburn - Auburn Senior High,0.0,2.0,1.0,84.9,87.9,0.0
00180010,11,2011,Avon - Ralph D Butler,1.0,0.4,0.0,46.3,47.7,0.0
00180510,11,2011,Avon - Avon Middle High School,0.0,0.2,1.0,42.9,44.1,0.0
00190025,11,2011,Ayer - Page-Hilltop,1.0,1.0,0.0,65.3,67.3,0.0
00190510,11,2011,Ayer - Ayer High School,2.0,0.0,2.3,30.1,34.4,0.0
00200004,11,2011,Barnstable - Barnstable Early Learning Center,0.0,0.0,1.0,27.8,28.8,0.0
00200005,11,2011,Barnstable - West Barnstable Elem,0.0,0.0,0.0,32.7,32.7,0.0
00200010,11,2011,Barnstable - Centerville Elementary,0.0,0.0,0.0,41.2,41.4,0.2
00200025,11,2011,Barnstable - Hyannis West Elementary,1.0,0.0,2.0,48.0,51.0,0.0
00200045,11,2011,Barnstable - West Villages Elementary School,0.0,0.0,0.0,61.8,62.5,0.8
00200315,11,2011,Barnstable - Barnstable Intermediate School,0.2,0.0,1.0,100.3,101.5,0.0
00200505,11,2011,Barnstable - Barnstable High,5.7,1.0,1.0,217.9,227.6,2.0
00230010,11,2011,Bedford - Lt Elezer Davis,1.7,0.0,0.8,62.0,65.4,1.0
