Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
03050015,34,2010,Wakefield - Woodville School,0.0,0.0,0.0,2.9,2.9,0.0
03050020,34,2010,Wakefield - Greenwood,0.0,0.0,0.0,1.5,1.5,0.0
03050040,34,2010,Wakefield - Walton,0.0,0.0,0.0,0.7999999999999999,0.7999999999999999,0.0
03050310,34,2010,Wakefield - Galvin Middle School,0.0,0.0,0.0,1.0,1.0,0.0
03050505,34,2010,Wakefield - Wakefield Memorial High,0.0,0.0,0.0,0.0,0.0,0.0
03060005,34,2010,Wales - Wales Elementary,0.0,0.0,0.0,0.8,0.8,0.0
03070002,34,2010,Walpole - Daniel Feeney Preschool Center,0.0,0.0,0.0,1.7,1.7,0.0
03070005,34,2010,Walpole - Elm Street School,0.0,0.0,0.0,2.6,2.6,0.0
03070010,34,2010,Walpole - Boyden,0.0,0.0,0.0,2.5,2.5,0.0
03070015,34,2010,Walpole - Fisher,0.0,0.0,0.0,3.0,3.0,0.0
03070018,34,2010,Walpole - Old Post Road,0.0,0.0,0.0,2.0,2.0,0.0
03070305,34,2010,Walpole - Bird Middle,0.0,0.0,0.0,1.3,1.3,0.0
03070310,34,2010,Walpole - Eleanor N Johnson Middle,0.0,0.0,0.0,2.3,2.3,0.0
03070505,34,2010,Walpole - Walpole High,0.0,0.0,0.0,0.0,0.0,0.0
03080005,34,2010,Waltham - William F. Stanley Elementary School,0.0,0.0,0.0,5.4,5.4,0.0
03080032,34,2010,Waltham - Douglas MacArthur Elementary School,0.0,0.0,0.0,2.0,2.0,0.0
03080040,34,2010,Waltham - Northeast Elementary School,0.0,0.0,1.0,3.5,4.5,0.0
03080050,34,2010,Waltham - Thomas R Plympton Elementary School,0.0,0.0,0.0,2.0,2.0,0.0
03080060,34,2010,Waltham - James Fitzgerald Elementary School,0.0,0.0,0.0,1.7999999999999998,1.7999999999999998,0.0
03080065,34,2010,Waltham - Henry Whittemore Elementary School,0.0,0.0,0.0,3.1,3.1,0.0
03080404,34,2010,Waltham - John F Kennedy Middle,0.0,0.0,0.0,2.8,2.8,0.0
03080415,34,2010,Waltham - John W. McDevitt Middle School,0.0,0.0,0.0,2.7,2.7,0.0
03080505,34,2010,Waltham - Waltham Sr High,0.0,0.0,0.0,0.7,0.7,0.0
03090020,34,2010,Ware - Stanley M Koziol Elem Sch,0.0,0.0,0.0,2.2,2.2,0.0
03090305,34,2010,Ware - Ware Middle School,0.0,0.0,0.0,0.8999999999999999,0.8999999999999999,0.0
03090505,34,2010,Ware - Ware Junior/Senior High School,0.0,0.0,0.0,1.9,1.9,0.0
03100003,34,2010,Wareham - John William Decas,0.0,0.0,0.0,2.0,2.0,0.0
03100017,34,2010,Wareham - Minot Forest,0.0,0.0,0.0,2.5,2.5,0.0
03100020,34,2010,Wareham - Ethel E Hammond,0.0,0.0,0.0,2.2,2.2,0.0
03100025,34,2010,Wareham - East Wareham School,0.0,0.0,0.0,2.5,2.5,0.0
03100305,34,2010,Wareham - Wareham Middle,0.0,0.0,0.0,1.7,1.7,0.0
03100310,34,2010,Wareham - West Wareham Academy,0.0,0.0,0.0,0.0,0.0,0.0
03100315,34,2010,Wareham - Wareham Cooperative Junior/Senior High School,0.0,0.0,0.0,0.0,0.0,0.0
03100505,34,2010,Wareham - Wareham Senior High,0.0,0.0,0.0,1.3,1.3,0.0
03140015,34,2010,Watertown - Cunniff,0.0,0.0,0.0,0.6,0.6,0.0
03140020,34,2010,Watertown - Hosmer,0.0,0.0,0.0,5.5,5.5,0.0
03140025,34,2010,Watertown - James Russell Lowell,0.0,0.0,0.0,2.0,2.0,0.0
03140305,34,2010,Watertown - Watertown Middle,0.0,0.0,0.0,0.0,0.0,0.0
03140505,34,2010,Watertown - Watertown High,0.0,1.0,0.0,0.0,1.0,0.0
03150005,34,2010,Wayland - Claypit Hill School,0.0,0.0,0.0,1.2,1.2,0.0
03150015,34,2010,Wayland - Happy Hollow School,0.0,0.0,0.0,2.3,2.3,0.0
03150020,34,2010,Wayland - Loker School,0.0,0.0,0.0,0.4,0.4,0.0
03150305,34,2010,Wayland - Wayland Middle School,0.0,0.0,0.0,0.6,0.6,0.0
03150505,34,2010,Wayland - Wayland High School,0.0,0.0,0.0,0.1,0.1,0.0
03160015,34,2010,Webster - Park Avenue Elementary,0.0,0.0,0.0,2.0,2.0,0.0
03160305,34,2010,Webster - Webster Middle School,0.0,0.0,0.0,3.2,3.2,0.0
03160505,34,2010,Webster - Bartlett Jr Sr High Sch,0.0,0.0,0.0,2.6,2.6,0.0
03170005,34,2010,Wellesley - Katharine Lee Bates,0.0,0.0,0.0,1.5,1.5,0.0
03170015,34,2010,Wellesley - Joseph E Fiske,0.0,0.0,0.0,9.399999999999999,9.399999999999999,0.0
03170020,34,2010,Wellesley - John D Hardy,0.0,0.0,0.0,1.9,1.9,0.0
03170025,34,2010,Wellesley - Hunnewell,0.0,0.0,0.0,1.8,1.8,0.0
03170045,34,2010,Wellesley - Schofield,0.0,0.0,0.0,1.5,1.5,0.0
03170048,34,2010,Wellesley - Sprague Elementary School,0.0,0.0,0.0,2.8,2.8,0.0
03170050,34,2010,Wellesley - Ernest F Upham,0.0,0.0,0.0,2.7,2.7,0.0
03170305,34,2010,Wellesley - Wellesley Middle,0.0,0.0,0.0,2.4,2.4,0.0
03170505,34,2010,Wellesley - Wellesley Sr High,0.8,0.0,0.0,1.0,1.8,0.0
03180005,34,2010,Wellfleet - Wellfleet Elementary,0.0,0.0,0.0,0.9,0.9,0.0
03210005,34,2010,Westborough - J Harding Armstrong,0.0,0.0,0.0,3.0,3.0,0.0
03210010,34,2010,Westborough - Annie E Fales,0.0,0.0,0.0,4.6,4.6,0.0
03210025,34,2010,Westborough - Elsie A Hastings Elem,0.0,0.0,0.0,6.1000000000000005,6.1000000000000005,0.0
03210045,34,2010,Westborough - Mill Pond School,0.0,0.0,0.0,3.6,3.6,0.0
03210305,34,2010,Westborough - Sarah W Gibbons Middle,0.0,0.0,0.0,2.2,2.2,0.0
03210505,34,2010,Westborough - Westborough High,0.0,0.0,0.0,0.5,0.5,0.0
03220005,34,2010,West Boylston - Major Edwards Elementary,0.0,0.0,0.0,3.4000000000000004,3.4000000000000004,0.0
03220505,34,2010,West Boylston - West Boylston Jr-Sr High,0.0,0.0,0.0,0.8,0.8,0.0
03230003,34,2010,West Bridgewater - Rose L Macdonald,0.0,0.0,0.0,0.9,0.9,0.0
03230005,34,2010,West Bridgewater - Spring Street School,0.0,0.0,0.0,0.9,0.9,0.0
03230305,34,2010,West Bridgewater - Howard School,0.0,0.0,0.0,0.0,0.0,0.0
03230505,34,2010,West Bridgewater - West Bridgewater Jr-Sr,0.0,0.0,0.0,0.0,0.0,0.0
03250003,34,2010,Westfield - Fort Meadow ECC,0.0,0.0,0.0,4.0,4.0,0.0
03250015,34,2010,Westfield - Franklin Ave,0.0,0.0,0.0,1.0,1.0,0.0
03250020,34,2010,Westfield - Abner Gibbs,0.0,0.0,0.0,1.0,1.0,0.0
03250025,34,2010,Westfield - Highland,0.0,0.0,0.0,0.0,0.0,0.0
03250033,34,2010,Westfield - Munger Hill,0.0,0.0,0.0,2.0,2.0,0.0
03250036,34,2010,Westfield - Paper Mill,0.0,0.0,0.0,1.0,1.0,0.0
03250040,34,2010,Westfield - Southampton Road,0.0,0.0,0.0,1.0,1.0,0.0
03250055,34,2010,Westfield - Juniper Park,0.0,0.0,0.0,1.0,1.0,0.0
03250305,34,2010,Westfield - North Middle School,0.0,0.0,0.0,1.0,1.0,0.0
03250310,34,2010,Westfield - South Middle School,0.0,0.0,0.0,1.0,1.0,0.0
03250505,34,2010,Westfield - Westfield High,0.0,0.0,0.0,0.0,0.0,0.0
03250515,34,2010,Westfield - Academy High School,0.0,0.0,0.0,0.0,0.0,0.0
03250605,34,2010,Westfield - Westfield Voc Tech High,0.0,0.0,0.0,0.0,0.0,0.0
03260004,34,2010,Westford - Abbot Elem,0.0,0.0,0.0,0.5,0.5,0.0
03260007,34,2010,Westford - Day Elementary,0.0,0.0,0.0,1.5,1.5,0.0
03260013,34,2010,Westford - Millennium Elementary,0.0,0.0,0.0,2.4,2.4,0.0
03260015,34,2010,Westford - Nabnasset,0.0,0.0,0.0,1.5,1.5,0.0
03260025,34,2010,Westford - Col John Robinson,0.0,0.0,0.0,1.0,1.0,0.0
03260045,34,2010,Westford - John A. Crisafulli Elementary School,0.0,0.0,0.0,0.8,0.8,0.0
03260055,34,2010,Westford - Rita E. Miller Elementary School,0.0,0.0,0.0,1.5,1.5,0.0
03260310,34,2010,Westford - Blanchard Middle,0.0,0.0,0.0,2.0,2.0,0.0
03260330,34,2010,Westford - Stony Brook School,0.0,0.0,0.0,1.4000000000000001,1.4000000000000001,0.0
03260505,34,2010,Westford - Westford Academy,0.0,0.0,0.0,0.0,0.0,0.0
03270005,34,2010,Westhampton - Westhampton Elem School,0.0,0.0,0.0,1.0,1.0,0.0
03300010,34,2010,Weston - Country,0.0,0.0,0.0,3.2,3.2,0.0
03300012,34,2010,Weston - Field Elem School,0.0,0.0,0.0,1.2000000000000002,1.2000000000000002,0.0
03300015,34,2010,Weston - Woodland,0.0,0.0,0.0,2.9,2.9,0.0
03300305,34,2010,Weston - Weston Middle,0.0,0.0,0.0,0.8,0.8,0.0
