Org Code,Job Group,Year,SCHOOL,African American (# ),Asian (# ),Hispanic (# ),White (# ),FTE Count,Other (# )
00010002,11,2013,Abington - Center Elementary School,0.0,0.0,0.0,23.0,23.0,0.0
00010003,11,2013,Abington - Beaver Brook Elementary School,2.0,0.0,0.0,60.4,62.4,0.0
00010015,11,2013,Abington - Woodsdale Elementary School,0.0,0.0,0.0,33.3,33.3,0.0
00010405,11,2013,Abington - Frolio Middle School,0.0,0.0,0.0,37.2,37.2,0.0
00010505,11,2013,Abington - Abington High,2.0,0.0,2.0,48.7,52.7,0.0
00020010,11,2013,Acton - Merriam,0.0,2.7,0.0,90.7,94.4,1.0
00020015,11,2013,Acton - McCarthy-Towne,0.0,0.0,0.5,58.4,58.9,0.0
00020020,11,2013,Acton - Douglas,0.0,0.6,0.0,51.4,52.0,0.0
00020025,11,2013,Acton - Gates,0.0,1.6,0.0,52.2,53.8,0.0
00020030,11,2013,Acton - Luther Conant,0.0,2.0,0.0,55.7,58.2,0.5
00030025,11,2013,Acushnet - Acushnet Elementary School,0.0,0.0,0.0,62.8,62.8,0.0
00030305,11,2013,Acushnet - Albert F Ford Middle School,0.0,0.0,0.0,48.1,48.1,0.0
00050003,11,2013,Agawam - Agawam Early Childhood Center,1.1,0.0,0.0,32.5,33.7,0.0
00050010,11,2013,Agawam - Clifford M Granger,0.1,0.0,0.0,51.0,51.1,0.0
00050020,11,2013,Agawam - Benjamin J Phelps,0.1,0.0,0.0,47.9,48.1,0.0
00050025,11,2013,Agawam - Robinson Park,0.1,0.0,0.0,60.8,60.9,0.0
00050030,11,2013,Agawam - James Clark School,0.1,0.0,0.0,51.9,52.0,0.0
00050303,11,2013,Agawam - Roberta G. Doering School,2.1,0.0,0.0,75.6,77.8,0.0
00050405,11,2013,Agawam - Agawam Junior High,0.1,0.0,1.0,78.6,79.7,0.0
00050505,11,2013,Agawam - Agawam High,0.1,0.0,1.0,136.8,137.9,0.0
00070005,11,2013,Amesbury - Amesbury Elementary,0.0,0.0,0.0,62.4,62.4,0.0
00070010,11,2013,Amesbury - Charles C Cashman Elementary,0.0,0.0,0.0,64.7,64.7,0.0
00070013,11,2013,Amesbury - Amesbury Middle,0.5,0.0,1.0,78.7,80.2,0.0
00070505,11,2013,Amesbury - Amesbury High,0.0,0.0,0.0,70.1,70.1,0.0
00080009,11,2013,Amherst - Crocker Farm Elementary,3.0,1.0,7.6,67.1,81.4,2.7
00080020,11,2013,Amherst - Fort River Elementary,2.0,2.0,7.1,72.9,86.5,2.5
00080050,11,2013,Amherst - Wildwood Elementary,5.9,6.0,4.3,83.4,100.6,1.0
00090003,11,2013,Andover - Bancroft Elementary,0.0,2.9,0.0,59.1,62.0,0.0
00090004,11,2013,Andover - High Plain Elementary,0.0,1.8,0.0,89.2,91.0,0.0
00090005,11,2013,Andover - Shawsheen School,0.0,0.8,1.0,51.1,52.9,0.0
00090010,11,2013,Andover - Henry C Sanborn Elementary,0.0,1.0,0.0,43.3,44.3,0.0
00090020,11,2013,Andover - South Elementary,0.0,1.9,0.0,67.2,69.1,0.0
00090025,11,2013,Andover - West Elementary,0.9,0.0,0.7,98.9,100.5,0.0
00090305,11,2013,Andover - Doherty Middle,1.0,2.0,1.0,60.5,65.5,1.0
00090310,11,2013,Andover - Andover West Middle,1.0,0.4,1.0,65.6,67.9,0.0
00090350,11,2013,Andover - Wood Hill Middle School,0.0,0.0,1.0,61.6,62.6,0.0
00090505,11,2013,Andover - Andover High,0.0,1.8,8.0,162.9,176.7,4.0
00100005,11,2013,Arlington - John A Bishop,2.0,0.0,0.0,41.5,43.5,0.0
00100010,11,2013,Arlington - Brackett,2.0,0.0,1.0,44.5,49.5,2.0
00100025,11,2013,Arlington - Cyrus E Dallin,1.0,2.0,0.0,54.3,60.3,3.0
00100030,11,2013,Arlington - Hardy,0.0,1.1,0.0,34.7,36.8,1.0
00100038,11,2013,Arlington - Menotomy Preschool,0.0,0.0,0.0,22.1,22.1,0.0
00100045,11,2013,Arlington - Peirce,1.0,2.0,0.0,43.0,46.0,0.0
00100050,11,2013,Arlington - Thompson,0.0,0.5,0.0,29.3,32.8,3.0
00100055,11,2013,Arlington - M Norcross Stratton,0.0,1.0,0.0,52.6,55.6,2.0
00100410,11,2013,Arlington - Ottoson Middle,1.0,1.0,1.0,111.4,116.4,2.0
00100505,11,2013,Arlington - Arlington High,0.0,2.9,1.8,120.2,125.2,0.4
00140005,11,2013,Ashland - William Pittaway Elementary,0.0,0.0,0.0,18.8,18.8,0.0
00140010,11,2013,Ashland - Henry E Warren Elementary,0.0,0.0,0.0,62.7,62.7,0.0
00140015,11,2013,Ashland - David Mindess,0.0,0.0,0.0,59.3,60.1,0.8
00140405,11,2013,Ashland - Ashland Middle,0.0,1.0,1.0,65.0,67.0,0.0
00140505,11,2013,Ashland - Ashland High,0.8,0.0,0.0,77.1,77.9,0.0
00160001,11,2013,Attleboro - A. Irvin Studley Elementary School,0.0,0.0,0.0,49.3,49.3,0.0
00160008,11,2013,Attleboro - Early Learning Center,0.0,0.0,0.0,27.7,28.7,1.0
00160035,11,2013,Attleboro - Thomas E. Willett School,0.0,0.0,2.0,48.4,50.4,0.0
00160040,11,2013,Attleboro - Hyman Fine Elementary School,0.0,0.0,0.0,39.0,39.0,0.0
00160045,11,2013,Attleboro - Hill-Roberts Elementary School,0.0,0.0,0.0,41.5,41.5,0.0
00160050,11,2013,Attleboro - Peter Thacher Elementary School,0.0,2.0,0.0,56.2,60.7,2.5
00160305,11,2013,Attleboro - Robert J. Coelho Middle School,2.0,0.0,0.0,58.6,60.6,0.0
00160315,11,2013,Attleboro - Cyril K. Brennan Middle School,1.0,0.0,0.0,63.6,64.6,0.0
00160320,11,2013,Attleboro - Wamsutta Middle School,0.0,0.0,1.0,55.2,57.2,1.0
00160505,11,2013,Attleboro - Attleboro High,2.0,1.0,5.0,185.4,193.4,0.0
00170005,11,2013,Auburn - Julia Bancroft,0.0,0.0,0.0,34.4,34.4,0.0
00170010,11,2013,Auburn - Bryn Mawr,0.0,0.0,0.0,42.0,42.0,0.0
00170015,11,2013,Auburn - Pakachoag,0.0,0.0,0.0,39.4,39.4,0.0
00170025,11,2013,Auburn - Mary D Stone,0.0,0.0,0.0,33.5,33.5,0.0
00170305,11,2013,Auburn - Auburn Middle,0.0,1.0,1.0,62.2,64.2,0.0
00170505,11,2013,Auburn - Auburn Senior High,1.1,1.0,1.0,90.1,93.2,0.0
00180010,11,2013,Avon - Ralph D Butler,1.0,0.6,0.0,43.4,45.0,0.0
00180510,11,2013,Avon - Avon Middle High School,1.0,0.0,1.0,42.1,44.1,0.0
00200005,11,2013,Barnstable - West Barnstable Elementary,1.0,0.0,0.0,30.2,31.2,0.0
00200010,11,2013,Barnstable - Centerville Elementary,0.0,0.0,1.6,60.6,62.4,0.2
00200025,11,2013,Barnstable - Hyannis West Elementary,1.0,1.0,0.4,55.6,58.0,0.0
00200045,11,2013,Barnstable - West Villages Elementary School,0.3,0.0,0.0,61.3,63.0,1.4
00200050,11,2013,Barnstable - Barnstable United Elementary School,1.0,0.0,0.0,100.0,102.0,1.0
00200315,11,2013,Barnstable - Barnstable Intermediate School,1.0,1.0,1.0,103.3,106.3,0.0
00200505,11,2013,Barnstable - Barnstable High,5.0,2.0,3.0,214.5,226.5,2.0
00230010,11,2013,Bedford - Lt Elezer Davis,3.5,0.0,0.8,60.1,65.4,1.0
00230012,11,2013,Bedford - Lt Job Lane School,0.3,0.0,0.6,68.0,69.9,1.0
00230305,11,2013,Bedford - John Glenn Middle,2.0,1.0,3.2,72.2,78.4,0.0
00230505,11,2013,Bedford - Bedford High,2.0,2.7,2.2,95.0,102.9,1.0
00240005,11,2013,Belchertown - Cold Spring,0.0,0.0,1.2,34.3,35.5,0.0
00240006,11,2013,Belchertown - Chestnut Hill Community School,0.0,0.0,0.2,61.1,61.3,0.0
00240018,11,2013,Belchertown - Swift River Elementary,0.0,0.0,0.2,58.0,58.2,0.0
00240025,11,2013,Belchertown - Jabish Middle School,0.0,0.0,1.2,53.3,54.5,0.0
00240505,11,2013,Belchertown - Belchertown High,1.0,0.0,2.2,71.7,74.9,0.0
00250003,11,2013,Bellingham - Bellingham Early Childhood Center,0.0,0.0,0.0,15.4,15.4,0.0
00250009,11,2013,Bellingham - Clara Macy Elementary,0.0,0.0,0.0,30.7,30.7,0.0
00250020,11,2013,Bellingham - South Elementary,0.0,0.0,0.0,43.1,43.1,0.0
00250025,11,2013,Bellingham - Stall Brook,0.0,0.0,0.0,47.3,47.3,0.0
00250315,11,2013,Bellingham - Bellingham Memorial Middle School,1.8,0.0,0.0,78.2,80.0,0.0
00250505,11,2013,Bellingham - Bellingham High School,0.0,2.0,0.0,67.3,69.3,0.0
00250510,11,2013,Bellingham - Primavera Junior/Senior High School,0.0,0.0,0.0,13.4,13.4,0.0
00260005,11,2013,Belmont - Winn Brook,0.0,1.1,0.9,50.5,52.5,0.0
00260010,11,2013,Belmont - Mary Lee Burbank,0.9,0.5,1.0,36.1,39.5,1.0
00260015,11,2013,Belmont - Daniel Butler,0.0,1.0,0.0,37.7,40.6,1.9
00260035,11,2013,Belmont - Roger E Wellington,0.0,2.0,0.0,65.2,67.2,0.0
00260305,11,2013,Belmont - Winthrop L Chenery Middle,4.0,5.2,1.0,96.9,109.1,2.0
00260505,11,2013,Belmont - Belmont High,0.0,2.0,2.0,96.0,101.0,1.0
00270010,11,2013,Berkley - Berkley Community School,0.0,0.0,1.0,61.2,62.2,0.0
00270305,11,2013,Berkley - Berkley Middle School,0.0,0.0,1.0,42.7,43.7,0.0
00280005,11,2013,Berlin - Berlin Memorial,0.0,0.0,0.0,35.2,35.2,0.0
00300010,11,2013,Beverly - Centerville Elementary,0.0,0.0,0.0,49.6,49.6,0.0
00300015,11,2013,Beverly - Cove Elementary,0.0,0.0,0.0,76.7,76.7,0.0
00300033,11,2013,Beverly - Hannah Elementary,0.0,0.0,0.0,42.8,42.8,0.0
00300040,11,2013,Beverly - North Beverly Elementary,0.0,0.0,0.0,48.7,48.7,0.0
00300055,11,2013,Beverly - Ayers/Ryal Side School,0.0,0.0,0.0,51.8,51.8,0.0
00300305,11,2013,Beverly - Briscoe Middle,0.0,1.0,0.0,105.9,106.9,0.0
00300505,11,2013,Beverly - Beverly High,0.0,0.0,1.0,125.8,126.8,0.0
00310005,11,2013,Billerica - Thomas Ditson,0.0,0.0,1.0,73.1,74.1,0.0
00310007,11,2013,Billerica - Frederick J Dutile,0.0,0.0,0.0,37.7,37.7,0.0
00310012,11,2013,Billerica - John F Kennedy,0.0,0.0,0.0,33.9,33.9,0.0
00310015,11,2013,Billerica - Parker,0.0,0.0,0.0,58.5,58.5,0.0
00310026,11,2013,Billerica - Hajjar Elementary,0.0,0.0,0.0,51.7,51.7,0.0
00310030,11,2013,Billerica - Eugene C Vining,0.0,0.0,0.0,34.7,34.7,0.0
00310305,11,2013,Billerica - Marshall Middle School,0.0,0.0,0.0,87.0,87.0,0.0
00310310,11,2013,Billerica - Locke Middle,0.0,0.0,2.0,76.2,78.2,0.0
00310505,11,2013,Billerica - Billerica Memorial High School,1.0,0.0,0.0,160.9,161.9,0.0
00350001,11,2013,Boston - Lee Academy,14.0,0.0,6.1,21.5,41.6,0.0
00350002,11,2013,Boston - Early Childhood Center at Fifield (ECC-Fifield),10.0,0.0,1.0,12.0,23.0,0.0
00350003,11,2013,Boston - Baldwin Early Learning Center,6.0,4.0,3.5,10.3,23.8,0.0
00350004,11,2013,Boston - Lyon K-8,4.0,4.0,1.5,21.6,31.1,0.0
